['0', '10', '17', '28', '33', '74', '78', '83', '103', '122', '160', '173', '176', '179', '192', '196', '198', '227', '235', '245']
['5', '7', '12', '49', '57', '58', '69', '79', '105', '114', '131', '134', '155', '162', '177', '201', '215', '238', '244', '253']
['20', '34', '43', '116', '137', '141', '144', '154', '168', '170', '187', '189', '226', '229', '262', '273', '280', '283', '294', '314']
['19', '21', '31', '46', '47', '72', '75', '87', '119', '127', '148', '208', '210', '213', '217', '223', '263', '275', '298', '327']
['18', '54', '64', '66', '70', '81', '84', '108', '113', '120', '150', '166', '185', '249', '254', '267', '272', '295', '316', '333']
['1', '15', '36', '60', '63', '94', '96', '109', '118', '149', '190', '219', '221', '228', '242', '248', '252', '311', '329', '334']
['9', '16', '26', '51', '85', '111', '121', '142', '169', '174', '195', '197', '200', '230', '243', '260', '270', '278', '289', '344']
['13', '40', '41', '48', '52', '76', '110', '143', '147', '156', '164', '172', '202', '247', '250', '281', '299', '305', '312', '355']
['14', '80', '86', '89', '91', '100', '186', '214', '231', '241', '255', '268', '287', '293', '297', '309', '328', '343', '347', '356']
['27', '38', '65', '67', '77', '132', '139', '151', '159', '165', '183', '193', '204', '206', '212', '236', '237', '258', '274', '358']
['2', '29', '45', '59', '71', '117', '124', '181', '205', '218', '246', '256', '259', '285', '290', '301', '310', '362', '364', '365']
['24', '30', '42', '61', '92', '107', '115', '125', '182', '209', '220', '234', '240', '277', '313', '339', '340', '363', '366', '369']
['25', '53', '97', '152', '167', '171', '224', '233', '264', '266', '279', '282', '302', '322', '324', '325', '337', '338', '345', '370']
['4', '82', '93', '95', '106', '112', '138', '175', '191', '257', '269', '284', '291', '308', '317', '319', '335', '350', '352', '375']
['22', '32', '68', '90', '104', '123', '126', '129', '140', '158', '203', '207', '306', '332', '341', '342', '361', '376', '378', '379']
['44', '99', '101', '135', '157', '180', '222', '251', '304', '318', '320', '321', '348', '354', '359', '360', '367', '371', '382', '384']
['39', '55', '62', '133', '146', '153', '163', '232', '265', '286', '300', '307', '330', '331', '336', '368', '373', '377', '385', '389']
['3', '6', '35', '73', '130', '178', '216', '276', '288', '303', '315', '346', '351', '372', '380', '381', '390', '392', '393', '395']
['11', '50', '56', '98', '102', '145', '161', '184', '194', '199', '211', '225', '239', '292', '357', '386', '391', '394', '396', '397']
['8', '23', '37', '88', '128', '136', '188', '261', '271', '296', '323', '326', '349', '353', '374', '383', '387', '388', '398', '399']
