['32', '43', '50', '60', '66', '67', '69', '77', '78', '79', '80', '95', '120', '157', '171', '183', '190', '191', '212', '219', '264', '265', '279', '280', '296']
['12', '19', '27', '31', '58', '94', '101', '109', '110', '117', '144', '166', '178', '185', '186', '194', '227', '229', '247', '262', '270', '310', '314', '315', '351']
['1', '2', '7', '25', '44', '64', '92', '114', '128', '141', '146', '213', '214', '223', '226', '232', '259', '278', '294', '309', '318', '337', '371', '373', '383']
['4', '29', '42', '54', '84', '129', '139', '140', '152', '162', '225', '233', '249', '251', '277', '287', '298', '322', '332', '342', '344', '348', '358', '364', '392']
['9', '18', '33', '38', '104', '145', '168', '188', '189', '197', '216', '221', '231', '246', '250', '252', '261', '297', '304', '305', '376', '379', '386', '394', '417']
['61', '87', '100', '105', '135', '137', '143', '150', '154', '179', '206', '224', '234', '243', '248', '256', '257', '300', '312', '319', '331', '341', '354', '370', '420']
['30', '40', '53', '63', '86', '115', '126', '130', '192', '204', '205', '209', '228', '285', '289', '292', '301', '302', '303', '321', '360', '362', '393', '398', '434']
['8', '21', '56', '65', '111', '119', '155', '198', '244', '316', '317', '334', '336', '350', '355', '366', '378', '385', '390', '395', '401', '412', '423', '429', '436']
['14', '26', '37', '39', '62', '71', '82', '131', '136', '159', '210', '215', '275', '281', '293', '311', '320', '340', '346', '381', '384', '409', '410', '427', '445']
['0', '3', '10', '22', '90', '165', '167', '181', '182', '218', '235', '236', '255', '284', '286', '306', '307', '325', '352', '405', '416', '431', '433', '437', '450']
['5', '28', '51', '73', '76', '98', '103', '134', '153', '158', '176', '208', '258', '266', '330', '357', '369', '389', '399', '413', '414', '418', '443', '444', '461']
['13', '70', '72', '85', '96', '99', '102', '133', '175', '177', '254', '269', '272', '276', '324', '329', '368', '407', '425', '442', '459', '462', '464', '466', '467']
['6', '34', '36', '57', '93', '97', '116', '122', '132', '199', '201', '239', '242', '245', '253', '263', '323', '343', '347', '356', '361', '419', '430', '441', '469']
['20', '24', '46', '55', '107', '121', '149', '151', '169', '288', '290', '299', '327', '359', '363', '375', '406', '408', '411', '421', '424', '432', '440', '449', '471']
['23', '41', '45', '47', '112', '123', '163', '184', '217', '273', '282', '339', '349', '377', '387', '388', '391', '396', '400', '403', '454', '463', '465', '468', '478']
['17', '88', '89', '118', '127', '142', '147', '148', '170', '172', '174', '203', '230', '237', '291', '295', '345', '353', '365', '435', '446', '451', '452', '479', '485']
['15', '16', '52', '68', '75', '164', '193', '196', '202', '240', '241', '326', '367', '382', '402', '415', '448', '457', '470', '472', '473', '475', '481', '483', '486']
['49', '81', '91', '106', '156', '161', '173', '207', '220', '238', '268', '313', '328', '335', '374', '404', '422', '439', '453', '456', '458', '460', '476', '477', '487']
['11', '74', '83', '108', '160', '187', '195', '200', '271', '274', '283', '333', '380', '426', '455', '480', '482', '484', '489', '490', '492', '493', '494', '495', '496']
['35', '48', '59', '113', '124', '125', '138', '180', '211', '222', '260', '267', '308', '338', '372', '397', '428', '438', '447', '474', '488', '491', '497', '498', '499']
