['25', '37', '70', '78', '120', '136', '141', '142', '188', '195']
['45', '52', '64', '81', '124', '149', '159', '243', '248', '260']
['6', '10', '15', '131', '165', '176', '209', '210', '235', '290']
['0', '66', '95', '100', '109', '116', '171', '191', '240', '291']
['36', '38', '69', '99', '175', '206', '227', '262', '266', '300']
['67', '118', '212', '224', '239', '254', '261', '283', '303', '312']
['11', '18', '29', '41', '44', '49', '82', '130', '307', '313']
['111', '129', '132', '156', '231', '282', '284', '318', '324', '325']
['55', '62', '105', '125', '145', '241', '242', '270', '305', '327']
['20', '71', '197', '199', '256', '272', '308', '311', '314', '332']
['19', '28', '94', '97', '183', '257', '288', '306', '316', '357']
['16', '30', '31', '46', '53', '135', '161', '246', '353', '369']
['24', '77', '128', '162', '172', '268', '287', '359', '360', '375']
['4', '59', '144', '148', '154', '336', '338', '362', '372', '377']
['8', '21', '155', '178', '207', '238', '285', '301', '371', '382']
['26', '33', '65', '113', '121', '169', '233', '265', '321', '390']
['74', '79', '114', '123', '140', '196', '276', '315', '385', '396']
['34', '90', '208', '249', '251', '264', '278', '328', '367', '397']
['47', '85', '102', '190', '289', '297', '341', '352', '388', '402']
['43', '112', '134', '274', '286', '350', '373', '374', '395', '408']
['51', '72', '86', '106', '173', '186', '213', '219', '320', '412']
['87', '146', '152', '180', '223', '244', '258', '333', '403', '414']
['107', '160', '166', '309', '331', '337', '404', '407', '413', '415']
['27', '126', '150', '192', '194', '310', '376', '406', '416', '425']
['50', '57', '204', '245', '281', '293', '330', '346', '349', '428']
['3', '137', '143', '185', '299', '364', '391', '394', '400', '439']
['60', '221', '225', '280', '292', '361', '386', '389', '398', '441']
['42', '63', '170', '187', '189', '217', '252', '421', '437', '446']
['83', '179', '202', '230', '269', '271', '329', '424', '443', '448']
['2', '5', '9', '32', '88', '139', '222', '302', '434', '449']
['48', '84', '133', '218', '228', '296', '334', '405', '417', '451']
['23', '119', '138', '168', '214', '294', '383', '427', '440', '457']
['115', '181', '203', '253', '263', '344', '420', '423', '433', '458']
['17', '75', '96', '103', '117', '220', '232', '345', '456', '460']
['14', '68', '93', '182', '226', '234', '250', '317', '348', '463']
['1', '73', '76', '92', '211', '229', '342', '365', '393', '464']
['89', '122', '201', '343', '378', '410', '426', '442', '452', '465']
['39', '101', '167', '177', '255', '358', '409', '444', '466', '468']
['12', '98', '104', '158', '193', '275', '347', '355', '470', '472']
['61', '157', '163', '237', '339', '363', '380', '422', '474', '480']
['13', '22', '56', '80', '164', '259', '453', '454', '477', '481']
['91', '326', '340', '356', '401', '430', '432', '436', '445', '482']
['58', '319', '351', '438', '447', '450', '459', '461', '476', '483']
['127', '247', '277', '295', '298', '429', '431', '475', '478', '487']
['7', '174', '205', '215', '384', '387', '392', '479', '485', '488']
['40', '54', '147', '153', '216', '273', '335', '411', '435', '489']
['381', '418', '455', '467', '473', '484']
['35', '151', '236', '279', '370', '379', '419']
['108', '184', '267', '304', '323', '354', '366', '368', '399']
['110', '198', '200', '322', '462', '469', '471', '486']
