['390', '359', '126', '17', '335', '193', '134', '198', '351', '301', '199', '307', '66', '272', '280', '241', '266', '224', '0', '356']
['248', '142', '58', '50', '336', '41', '89', '379', '192', '138', '294', '223', '238', '196', '178', '72', '180', '177', '262', '28']
['104', '33', '254', '295', '312', '5', '116', '37', '399', '170', '191', '110', '315', '384', '368', '45', '112', '118', '366', '187']
['150', '179', '300', '244', '159', '38', '111', '7', '200', '330', '48', '270', '221', '235', '375', '370', '325', '358', '93', '328']
['240', '53', '374', '56', '54', '293', '143', '176', '27', '287', '124', '171', '6', '339', '91', '347', '333', '86', '65', '100']
['62', '102', '383', '313', '360', '231', '92', '329', '349', '125', '10', '165', '367', '388', '8', '129', '52', '361', '141', '252']
['292', '46', '75', '120', '69', '63', '365', '121', '371', '57', '157', '14', '386', '185', '217', '309', '227', '264', '341', '257']
['16', '39', '303', '324', '334', '263', '43', '146', '9', '319', '387', '323', '253', '117', '19', '234', '353', '393', '35', '144']
['44', '3', '305', '344', '172', '214', '71', '247', '213', '64', '155', '108', '12', '73', '101', '154', '96', '350', '194', '128']
['201', '184', '61', '260', '357', '203', '208', '77', '376', '311', '147', '207', '255', '267', '363', '87', '343', '228', '229', '304']
['273', '189', '145', '355', '342', '97', '233', '283', '119', '239', '204', '137', '36', '182', '271', '362', '21', '380', '140', '88']
['195', '322', '278', '85', '113', '373', '32', '152', '398', '206', '317', '378', '397', '298', '318', '98', '123', '13', '51', '337']
['164', '29', '11', '258', '364', '230', '389', '114', '394', '103', '345', '202', '181', '168', '314', '107', '90', '392', '332', '169']
['173', '249', '82', '163', '84', '186', '122', '296', '242', '131', '133', '275', '338', '302', '216', '218', '135', '26', '151', '289']
['308', '212', '210', '188', '183', '81', '369', '225', '340', '15', '281', '156', '55', '326', '261', '205', '197', '269', '99', '78']
['1', '395', '174', '372', '49', '68', '265', '377', '222', '167', '130', '396', '346', '382', '310', '83', '23', '236', '20', '25']
['106', '276', '2', '74', '24', '251', '219', '115', '30', '162', '190', '211', '348', '139', '284', '385', '4', '288', '149', '291']
['245', '237', '320', '109', '67', '42', '105', '299', '209', '274', '321', '175', '286', '290', '243', '153', '80', '277', '297', '282']
['136', '148', '70', '381', '268', '285', '79', '166', '94', '232', '226', '76', '246', '47', '352', '161', '34', '391', '215', '279']
['331', '60', '31', '306', '256', '220', '316', '160', '127', '95', '59', '18', '158', '354', '327', '22', '40', '132', '250', '259']
