['4', '75', '78', '90', '123', '124', '148', '160', '174', '197']
['20', '28', '29', '64', '101', '194', '199', '212', '217', '242']
['53', '54', '57', '79', '89', '153', '171', '186', '195', '258']
['13', '38', '48', '61', '118', '146', '182', '216', '254', '268']
['98', '128', '170', '192', '221', '234', '255', '280', '291', '295']
['87', '94', '109', '256', '264', '272', '286', '303', '312', '318']
['2', '5', '44', '103', '119', '158', '257', '276', '292', '323']
['1', '104', '120', '142', '154', '239', '273', '300', '319', '324']
['68', '83', '147', '155', '181', '211', '213', '326', '337', '343']
['74', '81', '189', '200', '206', '228', '236', '284', '331', '357']
['66', '145', '156', '163', '203', '277', '304', '340', '354', '358']
['35', '46', '133', '187', '218', '225', '301', '321', '363', '365']
['25', '43', '67', '190', '196', '207', '219', '246', '283', '369']
['9', '36', '42', '62', '107', '121', '166', '231', '252', '375']
['97', '110', '116', '176', '209', '274', '279', '320', '344', '376']
['10', '69', '117', '183', '309', '329', '362', '373', '374', '378']
['12', '37', '84', '85', '162', '193', '317', '355', '367', '379']
['30', '136', '138', '151', '157', '224', '233', '248', '346', '388']
['31', '77', '152', '202', '210', '240', '327', '334', '353', '390']
['73', '179', '282', '348', '356', '372', '383', '384', '387', '398']
['51', '96', '114', '125', '134', '172', '259', '305', '306', '399']
['137', '167', '188', '198', '243', '288', '310', '332', '342', '402']
['15', '21', '40', '70', '149', '238', '293', '364', '371', '406']
['86', '99', '115', '150', '204', '287', '352', '389', '401', '407']
['76', '263', '278', '285', '299', '314', '325', '341', '397', '420']
['17', '18', '122', '173', '208', '307', '311', '349', '410', '424']
['91', '102', '178', '205', '214', '262', '313', '385', '395', '430']
['3', '45', '55', '161', '165', '260', '271', '391', '405', '438']
['34', '52', '100', '302', '382', '386', '412', '439', '443', '444']
['8', '127', '130', '201', '222', '223', '244', '400', '427', '446']
['22', '56', '60', '159', '227', '237', '393', '429', '433', '447']
['11', '23', '27', '113', '169', '232', '241', '275', '339', '451']
['33', '41', '164', '175', '245', '281', '290', '441', '448', '452']
['19', '47', '80', '328', '347', '351', '408', '416', '450', '456']
['49', '95', '143', '267', '298', '370', '409', '422', '445', '457']
['63', '111', '131', '139', '235', '335', '377', '418', '434', '462']
['59', '105', '191', '220', '322', '336', '359', '404', '425', '471']
['82', '226', '269', '289', '308', '414', '432', '435', '474', '476']
['32', '39', '180', '253', '330', '333', '417', '428', '431', '477']
['88', '106', '140', '168', '215', '270', '360', '453', '463', '478']
['6', '50', '112', '247', '261', '294', '297', '315', '419', '481']
['26', '132', '251', '265', '458', '461', '466', '470', '483', '484']
['7', '24', '126', '144', '316', '366', '368', '454', '475', '485']
['184', '229', '296', '394', '396', '411', '421', '423', '442', '488']
['92', '449', '464', '465', '467', '468', '469', '473', '487', '489']
['72', '93', '108', '129', '415', '436', '440', '459', '480', '490']
['230', '250', '338', '403', '413', '426', '437', '455', '460', '491']
['16', '177', '185', '249', '381', '392', '482', '493', '494', '495']
['14', '65', '71', '350', '380', '472']
['58', '135', '141', '266', '345', '361', '479', '486', '492']
