['10', '16', '18', '36', '51', '52', '97', '143', '171', '179', '197', '207', '236', '243', '258', '274', '287', '292', '304', '305']
['2', '7', '8', '27', '107', '109', '125', '132', '168', '203', '208', '213', '239', '249', '251', '279', '289', '295', '297', '306']
['17', '20', '34', '43', '128', '147', '155', '158', '172', '173', '192', '200', '230', '238', '241', '248', '261', '285', '303', '320']
['32', '49', '76', '89', '118', '133', '150', '153', '165', '178', '181', '253', '269', '270', '290', '293', '345', '354', '366', '368']
['19', '35', '40', '58', '66', '111', '115', '135', '136', '138', '214', '226', '234', '235', '260', '272', '344', '350', '356', '415']
['46', '50', '59', '61', '62', '75', '124', '130', '141', '187', '196', '201', '223', '250', '374', '387', '400', '409', '416', '423']
['67', '71', '167', '177', '180', '182', '198', '218', '256', '302', '310', '335', '339', '357', '363', '370', '383', '395', '421', '424']
['15', '60', '80', '112', '140', '161', '193', '283', '312', '316', '324', '334', '359', '385', '389', '390', '393', '410', '425', '431']
['3', '13', '38', '84', '99', '169', '209', '211', '222', '224', '247', '268', '298', '342', '352', '373', '377', '408', '418', '434']
['22', '77', '79', '94', '96', '102', '114', '137', '174', '194', '265', '267', '278', '296', '329', '337', '358', '384', '412', '438']
['54', '63', '101', '126', '134', '151', '228', '244', '252', '266', '321', '379', '396', '419', '427', '441', '455', '459', '461', '465']
['100', '123', '142', '154', '216', '231', '264', '275', '322', '331', '341', '346', '392', '397', '403', '430', '433', '437', '445', '466']
['1', '30', '56', '92', '144', '166', '237', '240', '242', '313', '353', '355', '364', '380', '388', '432', '442', '454', '456', '467']
['24', '44', '55', '103', '116', '119', '176', '202', '219', '220', '276', '336', '348', '406', '407', '414', '446', '453', '460', '470']
['41', '69', '72', '148', '159', '163', '191', '229', '280', '281', '286', '326', '338', '361', '362', '375', '429', '439', '447', '473']
['25', '29', '81', '120', '121', '146', '156', '189', '204', '225', '294', '311', '317', '367', '369', '372', '386', '399', '469', '475']
['5', '14', '23', '39', '68', '91', '162', '183', '185', '186', '215', '288', '301', '309', '378', '381', '382', '405', '420', '478']
['11', '21', '42', '45', '48', '122', '127', '145', '221', '300', '327', '371', '394', '402', '417', '443', '450', '451', '474', '480']
['83', '86', '88', '90', '104', '108', '131', '152', '255', '273', '308', '315', '323', '328', '333', '351', '462', '468', '483', '487']
['53', '73', '98', '113', '129', '139', '160', '188', '233', '245', '262', '271', '284', '318', '347', '349', '463', '472', '486', '489']
['0', '6', '26', '78', '93', '149', '210', '257', '263', '314', '319', '330', '340', '411', '428', '440', '458', '476', '484', '491']
['4', '9', '28', '31', '57', '74', '110', '199', '227', '254', '259', '291', '325', '332', '365', '376', '448', '479', '482', '493']
['64', '65', '95', '106', '157', '232', '246', '277', '282', '307', '343', '360', '422', '435', '449', '452', '481', '494', '495', '497']
['12', '33', '37', '70', '85', '87', '164', '170', '175', '205', '217', '401', '436', '464', '471', '485', '488', '492', '496', '498']
['47', '82', '105', '117', '184', '190', '195', '206', '212', '299', '391', '398', '404', '413', '426', '444', '457', '477', '490', '499']
