['0', '5', '7', '9', '19', '24', '47', '93', '95', '99', '103', '110', '122', '142', '168', '178', '181', '188', '190', '199', '212', '221', '232', '236', '247']
['31', '41', '54', '57', '96', '97', '107', '117', '120', '124', '152', '165', '172', '185', '189', '195', '202', '218', '223', '225', '226', '248', '269', '279', '293']
['8', '11', '18', '27', '29', '53', '79', '125', '141', '144', '147', '149', '153', '162', '187', '209', '214', '220', '227', '234', '239', '288', '292', '296', '301']
['28', '34', '66', '68', '83', '100', '104', '130', '148', '158', '186', '233', '235', '240', '251', '253', '266', '276', '285', '287', '290', '298', '300', '306', '325']
['20', '21', '22', '44', '46', '63', '65', '73', '85', '111', '121', '133', '136', '145', '182', '191', '200', '230', '242', '252', '258', '264', '274', '275', '328']
['10', '16', '52', '56', '72', '102', '112', '151', '154', '161', '183', '194', '203', '207', '208', '256', '262', '268', '286', '313', '320', '322', '326', '335', '349']
['14', '26', '37', '48', '80', '82', '98', '114', '128', '132', '134', '137', '198', '210', '241', '272', '278', '283', '304', '305', '309', '310', '315', '342', '355']
['43', '45', '58', '59', '67', '78', '84', '106', '109', '116', '139', '140', '174', '204', '211', '231', '257', '267', '277', '308', '311', '312', '338', '341', '361']
['12', '17', '25', '33', '61', '69', '70', '92', '126', '159', '215', '244', '245', '249', '254', '259', '260', '261', '321', '332', '339', '344', '358', '368', '369']
['15', '36', '74', '75', '86', '90', '101', '123', '129', '163', '169', '192', '213', '228', '271', '291', '294', '297', '307', '317', '330', '350', '360', '366', '370']
['23', '35', '38', '40', '49', '76', '77', '87', '88', '89', '113', '150', '164', '167', '175', '180', '206', '246', '270', '302', '323', '340', '352', '375', '382']
['2', '62', '64', '71', '91', '115', '118', '157', '201', '222', '237', '255', '265', '273', '303', '334', '346', '353', '363', '365', '372', '373', '379', '383', '384']
['4', '6', '32', '94', '105', '127', '155', '160', '179', '193', '217', '224', '250', '289', '319', '324', '329', '337', '356', '357', '371', '374', '377', '385', '386']
['3', '39', '60', '119', '138', '173', '177', '196', '229', '243', '280', '281', '284', '314', '331', '333', '343', '359', '362', '367', '380', '391', '392', '394', '397']
['1', '13', '30', '51', '131', '135', '170', '171', '184', '205', '216', '238', '263', '282', '327', '345', '348', '354', '376', '378', '381', '388', '389', '393', '398']
['42', '50', '55', '81', '108', '143', '146', '156', '166', '176', '197', '219', '295', '299', '316', '318', '336', '347', '351', '364', '387', '390', '395', '396', '399']
