['5', '14', '25', '29', '31', '42', '43', '45', '95', '100', '107', '122', '125', '132', '137', '164']
['1', '2', '36', '50', '61', '65', '76', '82', '89', '91', '96', '97', '106', '115', '148', '167']
['33', '34', '37', '52', '56', '85', '92', '120', '145', '147', '156', '165', '182', '191', '199', '212']
['0', '8', '32', '44', '75', '87', '99', '104', '126', '166', '177', '201', '202', '205', '211', '215']
['16', '48', '58', '109', '117', '133', '134', '146', '159', '171', '172', '174', '178', '179', '200', '217']
['3', '4', '35', '40', '67', '71', '74', '77', '80', '88', '90', '108', '129', '197', '220', '223']
['15', '23', '24', '28', '30', '39', '41', '118', '140', '144', '150', '181', '188', '203', '207', '226']
['27', '57', '116', '128', '157', '160', '161', '169', '195', '198', '204', '222', '229', '230', '231', '232']
['7', '13', '26', '49', '51', '53', '62', '64', '66', '68', '70', '173', '193', '209', '214', '236']
['11', '18', '19', '46', '63', '81', '94', '98', '103', '113', '114', '143', '152', '183', '196', '237']
['9', '22', '69', '83', '84', '112', '138', '149', '170', '185', '189', '190', '216', '238', '245', '246']
['20', '79', '101', '119', '124', '155', '162', '168', '186', '219', '224', '227', '241', '242', '247', '248']
['12', '17', '38', '102', '105', '110', '154', '184', '187', '192', '213', '225', '234', '240', '244', '249']
['10', '21', '47', '73', '78', '93', '130', '135', '141', '142', '175', '176', '206', '208', '210', '251']
['6', '54', '59', '121', '123', '127', '139', '151', '153', '163', '180', '218', '221', '233', '235', '252']
['55', '60', '72', '86', '111', '131', '136', '158', '194', '228', '239', '243', '250', '253', '254', '255']
