['25', '39', '47', '60', '82', '88', '92', '116', '141', '147']
['28', '51', '56', '130', '133', '154', '175', '204', '219', '221']
['12', '30', '69', '156', '179', '188', '197', '240', '243', '266']
['1', '37', '52', '57', '76', '84', '123', '231', '256', '275']
['11', '36', '53', '95', '125', '126', '136', '193', '280', '319']
['29', '35', '40', '90', '97', '186', '207', '246', '296', '333']
['13', '49', '64', '159', '194', '223', '239', '258', '259', '334']
['86', '93', '105', '113', '122', '216', '281', '309', '343', '347']
['18', '112', '146', '168', '169', '227', '252', '291', '301', '355']
['15', '26', '32', '77', '91', '217', '238', '250', '294', '366']
['16', '20', '61', '149', '208', '218', '247', '253', '299', '371']
['102', '142', '165', '244', '312', '326', '328', '344', '359', '381']
['44', '54', '119', '148', '171', '184', '225', '229', '351', '382']
['27', '121', '135', '181', '206', '210', '286', '341', '346', '384']
['4', '22', '145', '157', '166', '199', '242', '325', '357', '390']
['2', '74', '79', '89', '187', '245', '285', '339', '360', '393']
['41', '153', '220', '237', '269', '276', '353', '356', '370', '401']
['24', '42', '115', '144', '162', '192', '235', '251', '396', '402']
['31', '128', '138', '265', '289', '307', '323', '373', '383', '404']
['66', '99', '107', '134', '236', '313', '315', '336', '379', '408']
['100', '109', '151', '189', '200', '205', '338', '362', '394', '417']
['71', '106', '114', '131', '167', '211', '335', '368', '413', '418']
['17', '120', '129', '150', '212', '267', '273', '305', '354', '422']
['96', '104', '111', '124', '152', '203', '232', '302', '391', '427']
['23', '65', '67', '263', '317', '372', '386', '387', '388', '428']
['19', '21', '103', '222', '249', '278', '314', '337', '389', '429']
['46', '59', '81', '137', '233', '279', '365', '420', '425', '433']
['5', '68', '132', '174', '214', '297', '407', '409', '435', '441']
['161', '182', '228', '234', '277', '329', '363', '432', '440', '443']
['34', '50', '158', '164', '226', '260', '304', '321', '322', '444']
['75', '87', '118', '177', '300', '331', '358', '374', '400', '445']
['9', '70', '72', '180', '202', '332', '349', '352', '424', '451']
['43', '73', '196', '248', '375', '376', '378', '403', '431', '454']
['94', '110', '209', '293', '399', '411', '414', '438', '448', '455']
['139', '160', '183', '198', '215', '283', '292', '397', '412', '459']
['14', '155', '176', '257', '320', '327', '345', '350', '364', '466']
['62', '268', '271', '298', '308', '410', '426', '453', '463', '469']
['127', '190', '195', '255', '284', '348', '385', '436', '473', '474']
['6', '38', '85', '213', '303', '306', '342', '442', '447', '475']
['45', '78', '80', '83', '172', '241', '395', '450', '471', '480']
['3', '33', '108', '117', '185', '230', '254', '290', '406', '482']
['63', '140', '274', '282', '377', '392', '434', '468', '472', '483']
['48', '173', '311', '416', '419', '430', '449', '452', '461', '484']
['8', '98', '163', '170', '262', '270', '316', '398', '439', '485']
['55', '58', '143', '405', '457', '460', '465', '478', '479', '487']
['101', '201', '224', '295', '380', '415', '421', '423', '476', '490']
['7', '10', '178', '318', '446', '456', '458', '481', '493', '494']
['272', '287', '288', '367', '369', '437', '467', '492', '495', '496']
['191', '261', '264', '310', '324', '462', '464', '470', '477', '497']
['330', '340', '361', '486', '488', '489', '491', '498', '499', '500']
