['86', '96', '98', '104', '129', '155', '160', '168', '193', '236']
['38', '46', '74', '157', '158', '213', '220', '222', '237', '243']
['6', '42', '66', '122', '147', '153', '180', '214', '245', '251']
['52', '64', '114', '132', '142', '183', '203', '204', '235', '252']
['2', '4', '34', '82', '106', '190', '201', '215', '223', '254']
['1', '19', '24', '55', '61', '69', '140', '151', '162', '268']
['13', '33', '47', '53', '54', '239', '241', '250', '262', '269']
['10', '23', '36', '79', '100', '138', '145', '244', '246', '276']
['41', '58', '71', '78', '124', '146', '177', '206', '221', '289']
['28', '105', '118', '126', '139', '154', '198', '284', '295', '296']
['21', '31', '40', '59', '75', '77', '94', '200', '247', '302']
['67', '108', '209', '240', '263', '265', '279', '281', '298', '305']
['30', '35', '65', '76', '93', '119', '192', '197', '256', '306']
['3', '57', '80', '115', '117', '130', '182', '260', '288', '308']
['39', '72', '88', '92', '121', '194', '275', '280', '320', '322']
['45', '109', '166', '178', '232', '297', '312', '313', '325', '326']
['37', '44', '73', '173', '176', '238', '248', '266', '277', '327']
['91', '143', '152', '169', '261', '282', '286', '307', '316', '330']
['63', '70', '159', '187', '202', '227', '231', '290', '324', '342']
['81', '87', '208', '210', '229', '287', '339', '343', '349', '352']
['15', '51', '89', '112', '136', '164', '170', '196', '259', '356']
['48', '56', '103', '111', '216', '257', '273', '300', '334', '357']
['20', '97', '123', '128', '156', '191', '226', '283', '314', '358']
['7', '62', '107', '149', '181', '188', '303', '328', '333', '359']
['101', '102', '148', '179', '233', '242', '274', '331', '348', '366']
['27', '90', '113', '120', '217', '270', '329', '332', '338', '369']
['85', '95', '131', '189', '211', '337', '355', '362', '364', '371']
['5', '18', '68', '207', '271', '301', '319', '345', '367', '376']
['9', '133', '135', '141', '144', '163', '199', '264', '299', '378']
['14', '99', '218', '224', '230', '278', '309', '372', '374', '379']
['134', '150', '174', '175', '234', '267', '272', '292', '377', '381']
['137', '205', '212', '219', '258', '293', '344', '370', '380', '382']
['11', '12', '43', '116', '225', '335', '340', '347', '354', '383']
['16', '26', '186', '253', '310', '311', '321', '373', '385', '387']
['49', '50', '83', '84', '185', '255', '285', '353', '360', '388']
['22', '125', '161', '167', '228', '291', '336', '351', '368', '389']
['17', '32', '60', '195', '249', '315', '317', '365', '386', '390']
['8', '127', '294', '323', '341', '346', '375', '395', '396', '397']
['29', '165', '171', '172', '184', '304', '318', '363', '394', '398']
['25', '110', '350', '361', '384', '391', '392', '393', '399']
