['0', '2', '21', '26', '28', '36', '37', '44', '54', '58', '60', '64', '81', '87', '90', '93', '97', '105', '106', '137', '140', '151', '185', '214', '215']
['4', '48', '65', '68', '75', '83', '107', '111', '114', '130', '131', '138', '143', '152', '162', '164', '165', '168', '178', '181', '201', '207', '212', '222', '233']
['1', '24', '62', '69', '76', '78', '86', '92', '99', '102', '104', '115', '146', '154', '161', '174', '183', '187', '192', '193', '194', '206', '208', '232', '238']
['3', '6', '9', '40', '43', '57', '79', '80', '98', '108', '126', '157', '163', '167', '170', '176', '200', '203', '217', '223', '226', '242', '248', '254', '256']
['18', '22', '33', '47', '52', '61', '63', '73', '84', '88', '91', '125', '133', '134', '139', '141', '148', '149', '169', '189', '191', '229', '257', '262', '265']
['14', '15', '29', '31', '50', '51', '71', '96', '116', '117', '119', '122', '129', '136', '186', '197', '202', '211', '218', '219', '239', '249', '250', '251', '270']
['16', '20', '25', '34', '53', '101', '110', '128', '132', '135', '145', '175', '188', '195', '199', '205', '213', '221', '224', '227', '228', '231', '260', '271', '272']
['8', '23', '27', '32', '46', '56', '66', '77', '95', '142', '160', '166', '171', '196', '204', '209', '225', '230', '245', '264', '274', '276', '278', '280', '283']
['7', '10', '38', '45', '72', '74', '82', '94', '109', '123', '147', '158', '159', '177', '210', '216', '240', '243', '246', '266', '275', '284', '285', '286', '289']
['11', '17', '19', '30', '35', '39', '42', '55', '59', '85', '100', '113', '120', '124', '150', '153', '155', '179', '180', '220', '235', '263', '273', '290', '292']
['5', '12', '49', '89', '112', '121', '156', '172', '173', '198', '234', '236', '241', '244', '247', '255', '267', '268', '277', '279', '282', '287', '294', '296', '297']
['13', '41', '67', '70', '103', '118', '127', '144', '182', '184', '190', '237', '252', '253', '258', '259', '261', '269', '281', '288', '291', '293', '295', '298', '299']
