['30', '48', '64', '82', '86', '97', '105', '120', '153', '155']
['23', '28', '45', '59', '74', '93', '137', '159', '161', '171']
['17', '46', '77', '80', '111', '124', '142', '158', '176', '189']
['4', '9', '15', '67', '84', '110', '121', '128', '133', '192']
['27', '55', '58', '92', '114', '145', '146', '166', '193', '194']
['36', '88', '94', '98', '103', '119', '167', '178', '190', '196']
['32', '50', '87', '95', '96', '122', '165', '182', '195', '199']
['8', '34', '37', '62', '112', '177', '188', '191', '205', '207']
['6', '7', '31', '66', '81', '138', '140', '148', '173', '226']
['12', '29', '44', '65', '70', '72', '83', '149', '187', '227']
['20', '90', '99', '123', '130', '154', '211', '221', '230', '244']
['3', '22', '76', '129', '141', '152', '219', '220', '234', '246']
['5', '53', '60', '100', '102', '113', '212', '238', '240', '253']
['18', '56', '127', '162', '181', '183', '204', '215', '241', '255']
['106', '116', '125', '126', '160', '168', '198', '243', '250', '256']
['21', '35', '41', '104', '107', '175', '213', '228', '237', '260']
['24', '57', '101', '143', '185', '201', '231', '257', '259', '262']
['26', '69', '115', '136', '170', '202', '233', '249', '252', '265']
['25', '52', '68', '108', '151', '186', '218', '224', '254', '267']
['19', '174', '197', '208', '210', '236', '251', '266', '275', '281']
['38', '39', '63', '157', '163', '203', '209', '235', '268', '282']
['2', '10', '14', '54', '117', '118', '134', '179', '216', '283']
['16', '49', '135', '156', '261', '271', '272', '277', '280', '284']
['42', '78', '91', '147', '184', '214', '245', '270', '287', '288']
['33', '47', '75', '109', '144', '239', '247', '269', '290', '293']
['13', '40', '43', '217', '229', '248', '263', '274', '278', '294']
['11', '73', '139', '164', '206', '258', '264', '276', '295', '296']
['1', '71', '79', '223', '225', '279', '285', '289', '291', '297']
['51', '61', '85', '89', '131', '150', '169', '180', '286', '299']
['132', '172', '200', '222', '232', '242', '273', '292', '298', '300']
