['21', '48', '52', '109', '113', '129', '170', '177', '195', '222']
['2', '6', '9', '16', '41', '81', '106', '130', '209', '246']
['30', '64', '76', '85', '121', '123', '140', '175', '187', '256']
['24', '27', '119', '132', '164', '171', '226', '238', '240', '262']
['15', '23', '31', '72', '95', '97', '202', '244', '255', '266']
['11', '34', '43', '55', '78', '136', '147', '167', '182', '271']
['5', '12', '75', '90', '93', '131', '173', '248', '275', '279']
['20', '36', '104', '126', '154', '160', '174', '183', '204', '289']
['50', '128', '199', '200', '214', '217', '221', '237', '257', '308']
['26', '44', '62', '73', '86', '114', '250', '259', '277', '311']
['66', '77', '84', '124', '193', '206', '229', '295', '310', '312']
['39', '127', '141', '156', '169', '194', '227', '280', '284', '319']
['0', '99', '176', '190', '191', '264', '276', '303', '315', '320']
['32', '37', '145', '168', '181', '197', '294', '322', '323', '324']
['65', '94', '102', '196', '241', '251', '268', '270', '316', '328']
['22', '82', '91', '117', '208', '249', '263', '301', '314', '329']
['46', '53', '101', '122', '133', '180', '198', '252', '325', '334']
['17', '88', '118', '144', '163', '186', '220', '273', '298', '336']
['10', '112', '137', '178', '205', '261', '278', '281', '296', '339']
['33', '74', '92', '111', '151', '260', '286', '293', '338', '342']
['58', '79', '139', '166', '188', '211', '225', '234', '236', '344']
['19', '25', '28', '60', '69', '110', '138', '201', '210', '351']
['67', '143', '162', '179', '239', '274', '299', '309', '350', '352']
['203', '232', '254', '267', '285', '290', '306', '337', '341', '355']
['13', '47', '56', '63', '116', '134', '288', '305', '313', '357']
['83', '105', '108', '159', '215', '292', '321', '332', '354', '359']
['7', '18', '29', '49', '157', '207', '212', '218', '343', '361']
['38', '107', '153', '213', '223', '235', '243', '253', '345', '366']
['45', '71', '146', '161', '233', '242', '258', '297', '348', '372']
['57', '115', '148', '150', '158', '247', '371', '376', '378', '379']
['4', '35', '80', '87', '96', '142', '149', '347', '375', '380']
['8', '68', '155', '291', '304', '326', '327', '365', '370', '381']
['14', '54', '61', '103', '135', '152', '231', '330', '353', '382']
['51', '125', '282', '302', '307', '356', '363', '368', '377', '383']
['70', '120', '165', '283', '287', '331', '333', '335', '358', '384']
['3', '89', '98', '100', '189', '272', '318', '346', '360', '387']
['1', '184', '192', '245', '362', '367', '373', '385', '391', '392']
['172', '219', '224', '269', '300', '317', '349', '393', '395', '397']
['40', '59', '228', '265', '364', '386', '389', '394', '396', '398']
['42', '185', '216', '230', '340', '369', '374', '388', '390', '399']
