['13', '40', '41', '81', '84']
['14', '20', '65', '86', '138']
['0', '58', '125', '127', '167']
['11', '15', '67', '176', '197']
['69', '145', '170', '182', '198']
['6', '47', '141', '195', '207']
['24', '77', '93', '133', '214']
['7', '17', '27', '112', '215']
['9', '44', '76', '115', '219']
['19', '37', '82', '194', '225']
['10', '70', '87', '161', '229']
['121', '156', '186', '189', '233']
['21', '187', '188', '230', '235']
['36', '68', '216', '245', '250']
['5', '64', '206', '218', '252']
['18', '99', '103', '166', '253']
['105', '147', '151', '204', '254']
['90', '109', '144', '202', '256']
['38', '140', '213', '259', '265']
['51', '104', '111', '201', '266']
['1', '114', '234', '240', '267']
['94', '98', '183', '262', '274']
['49', '61', '249', '257', '275']
['16', '33', '159', '239', '277']
['42', '220', '280', '283', '285']
['56', '74', '178', '228', '289']
['25', '122', '163', '171', '290']
['62', '102', '108', '268', '295']
['79', '129', '247', '298', '308']
['32', '75', '227', '241', '311']
['118', '128', '184', '310', '313']
['113', '158', '232', '305', '319']
['95', '185', '255', '276', '322']
['29', '160', '169', '212', '324']
['35', '110', '237', '294', '328']
['53', '157', '246', '263', '334']
['132', '236', '261', '317', '335']
['31', '60', '72', '223', '337']
['23', '78', '155', '271', '342']
['26', '173', '242', '291', '346']
['303', '314', '321', '344', '348']
['120', '135', '288', '296', '355']
['85', '168', '270', '323', '356']
['12', '116', '210', '363', '364']
['139', '248', '336', '349', '365']
['48', '203', '251', '278', '376']
['119', '345', '369', '370', '378']
['4', '39', '208', '372', '383']
['131', '199', '272', '350', '384']
['149', '192', '287', '301', '387']
['124', '162', '332', '351', '388']
['92', '148', '150', '190', '391']
['63', '71', '152', '362', '392']
['174', '244', '318', '380', '393']
['50', '282', '331', '374', '399']
['100', '130', '179', '209', '404']
['3', '217', '325', '361', '410']
['59', '279', '385', '405', '411']
['34', '315', '340', '407', '413']
['52', '165', '281', '377', '418']
['57', '153', '401', '416', '419']
['101', '300', '354', '409', '422']
['193', '284', '299', '402', '424']
['224', '329', '333', '421', '428']
['302', '379', '403', '431', '432']
['66', '146', '180', '382', '437']
['196', '221', '316', '341', '438']
['73', '91', '396', '425', '441']
['55', '269', '357', '442', '445']
['200', '260', '307', '440', '448']
['164', '286', '297', '436', '449']
['2', '330', '386', '429', '450']
['83', '136', '273', '426', '451']
['89', '117', '292', '414', '453']
['22', '43', '175', '397', '454']
['293', '368', '430', '439', '456']
['142', '191', '375', '408', '457']
['106', '338', '389', '452', '458']
['312', '320', '371', '427', '459']
['96', '304', '353', '415', '462']
['54', '177', '205', '352', '463']
['226', '394', '446', '466', '470']
['88', '347', '359', '366', '471']
['80', '211', '412', '443', '477']
['360', '435', '447', '472', '478']
['28', '258', '339', '390', '482']
['264', '327', '373', '474', '483']
['134', '243', '309', '367', '484']
['8', '423', '434', '444', '485']
['143', '381', '460', '465', '486']
['343', '395', '461', '475', '487']
['126', '231', '468', '476', '488']
['154', '326', '400', '473', '491']
['30', '97', '238', '480', '493']
['45', '406', '479', '489', '495']
['467', '469', '481', '490', '497']
['123', '306', '398', '433', '498']
['137', '172', '455', '494', '499']
['46', '417', '492', '496']
['358', '420']
['107', '181', '222', '464']
