['9', '17', '36', '42', '84', '146', '173', '243', '254', '276']
['3', '4', '66', '67', '113', '136', '143', '203', '241', '278']
['1', '8', '116', '119', '132', '198', '216', '248', '262', '279']
['58', '65', '155', '176', '208', '212', '227', '230', '269', '280']
['39', '44', '61', '87', '121', '165', '209', '234', '258', '295']
['25', '34', '41', '69', '213', '222', '255', '281', '286', '312']
['5', '138', '148', '149', '182', '194', '195', '273', '285', '321']
['22', '86', '91', '210', '218', '232', '237', '308', '317', '323']
['38', '90', '111', '168', '178', '266', '287', '291', '314', '328']
['0', '20', '29', '30', '49', '186', '205', '260', '329', '356']
['14', '160', '191', '219', '235', '253', '265', '277', '298', '360']
['31', '122', '130', '211', '289', '306', '335', '357', '367', '372']
['16', '21', '101', '107', '134', '158', '174', '348', '364', '373']
['106', '118', '123', '137', '189', '197', '244', '343', '345', '377']
['53', '98', '115', '226', '240', '322', '353', '355', '371', '378']
['28', '52', '172', '175', '272', '315', '337', '344', '380', '383']
['48', '145', '202', '292', '305', '310', '327', '358', '386', '387']
['63', '70', '80', '117', '159', '302', '342', '365', '375', '392']
['72', '97', '128', '164', '179', '261', '290', '303', '325', '393']
['26', '37', '46', '167', '169', '324', '331', '338', '349', '396']
['51', '89', '105', '110', '112', '163', '341', '374', '394', '399']
['15', '18', '170', '180', '199', '299', '359', '376', '397', '406']
['13', '50', '92', '245', '259', '320', '347', '363', '368', '410']
['27', '177', '187', '192', '201', '301', '384', '389', '409', '413']
['74', '127', '161', '184', '190', '332', '366', '370', '398', '417']
['11', '23', '71', '78', '214', '242', '283', '304', '362', '420']
['83', '124', '133', '147', '200', '247', '270', '288', '388', '421']
['12', '33', '40', '204', '274', '311', '334', '369', '382', '430']
['6', '47', '102', '188', '223', '263', '294', '300', '381', '431']
['19', '32', '64', '125', '150', '193', '293', '403', '433', '439']
['54', '60', '225', '309', '339', '350', '354', '361', '426', '444']
['81', '129', '151', '153', '271', '307', '346', '411', '441', '448']
['2', '85', '181', '185', '284', '401', '416', '427', '445', '451']
['7', '57', '62', '79', '246', '257', '267', '336', '419', '452']
['142', '224', '231', '319', '352', '400', '404', '408', '442', '453']
['55', '76', '99', '108', '256', '297', '434', '447', '449', '454']
['24', '103', '152', '156', '236', '250', '252', '275', '450', '459']
['10', '56', '139', '207', '221', '318', '326', '330', '390', '460']
['82', '120', '171', '229', '264', '282', '407', '415', '422', '461']
['131', '141', '183', '249', '296', '385', '414', '424', '465', '471']
['100', '109', '268', '351', '395', '423', '440', '470', '472', '473']
['59', '68', '196', '217', '220', '412', '432', '443', '455', '475']
['35', '73', '140', '154', '162', '313', '316', '437', '469', '480']
['43', '75', '95', '340', '379', '435', '463', '476', '477', '487']
['45', '93', '96', '402', '405', '428', '462', '482', '486', '488']
['135', '157', '166', '233', '238', '391', '483', '484', '489', '490']
['88', '114', '126', '215', '333', '446', '456', '464', '481', '491']
['104', '239', '418', '425', '457', '458', '467', '468', '492', '494']
['77', '94', '144', '206', '251', '474', '485', '493', '495', '496']
['228', '429', '436', '438', '466', '478', '479', '497', '498', '499']
