['5', '16', '18', '23', '28', '35', '46', '54', '62', '94', '96', '136', '138', '146', '162', '172', '180', '194', '201', '213', '215', '218', '219', '238', '241']
['3', '6', '10', '13', '32', '67', '81', '102', '134', '140', '149', '184', '186', '198', '203', '239', '253', '267', '271', '289', '298', '309', '327', '329', '333']
['7', '11', '31', '33', '44', '73', '82', '84', '89', '107', '123', '129', '155', '158', '169', '202', '214', '222', '260', '266', '274', '278', '308', '324', '352']
['19', '48', '51', '75', '95', '101', '103', '105', '120', '135', '139', '160', '182', '206', '221', '228', '229', '245', '246', '248', '262', '285', '302', '345', '354']
['45', '49', '72', '77', '80', '83', '143', '153', '159', '175', '176', '177', '220', '230', '232', '257', '293', '303', '328', '357', '367', '370', '381', '399', '402']
['26', '47', '70', '100', '104', '122', '124', '148', '189', '191', '193', '236', '249', '250', '251', '264', '273', '290', '291', '301', '305', '306', '314', '355', '404']
['17', '24', '25', '42', '68', '69', '88', '127', '130', '131', '192', '223', '234', '261', '275', '288', '292', '299', '310', '319', '320', '361', '387', '401', '410']
['2', '29', '61', '141', '157', '161', '170', '171', '187', '227', '235', '280', '284', '286', '318', '325', '336', '338', '358', '364', '368', '374', '416', '429', '445']
['22', '39', '66', '71', '156', '208', '209', '225', '252', '254', '258', '287', '311', '330', '350', '392', '393', '396', '408', '413', '426', '427', '432', '451', '452']
['1', '52', '76', '87', '109', '152', '154', '185', '188', '196', '197', '200', '247', '272', '277', '279', '316', '332', '343', '376', '391', '400', '423', '433', '459']
['50', '55', '115', '142', '151', '181', '211', '240', '243', '263', '281', '283', '322', '335', '339', '344', '346', '349', '375', '383', '397', '403', '425', '448', '467']
['38', '56', '57', '99', '111', '128', '178', '195', '204', '237', '270', '282', '359', '362', '366', '373', '377', '378', '441', '442', '447', '454', '460', '464', '468']
['21', '34', '36', '79', '97', '106', '108', '110', '121', '137', '174', '183', '207', '307', '312', '341', '379', '412', '421', '422', '436', '440', '463', '472', '475']
['37', '60', '85', '118', '150', '217', '224', '295', '321', '348', '356', '363', '365', '371', '380', '390', '417', '418', '430', '434', '439', '455', '469', '471', '486']
['4', '8', '9', '41', '58', '90', '114', '119', '210', '216', '244', '265', '269', '294', '297', '331', '342', '372', '385', '411', '414', '462', '478', '482', '488']
['20', '113', '144', '190', '242', '255', '268', '276', '315', '323', '347', '369', '382', '398', '405', '407', '419', '456', '461', '465', '473', '477', '480', '487', '489']
['63', '74', '98', '117', '126', '147', '165', '167', '199', '231', '233', '300', '304', '340', '388', '394', '437', '457', '458', '479', '483', '484', '491', '492', '495']
['14', '27', '64', '92', '112', '133', '164', '173', '205', '212', '259', '317', '326', '353', '360', '386', '415', '438', '449', '450', '453', '470', '490', '493', '496']
['BrahShah', '15', '86', '125', '132', '163', '168', '226', '256', '313', '351', '384', '389', '395', '406', '409', '420', '443', '444', '466', '474', '476', '481', '485', '497']
['12', '30', '40', '43', '53', '59', '65', '78', '91', '93', '116', '145', '166', '179', '296', '334', '337', '424', '428', '431', '435', '446', '494', '498', '499']
