['89', '365', '393', '334', '161']
['343', '437', '369', '10', '351']
['255', '243', '417', '85', '489']
['265', '228', '168', '360', '16']
['491', '88', '457', '196', '237']
['364', '282', '480', '114', '378']
['45', '361', '217', '214', '129']
['317', '462', '116', '323', '25']
['290', '249', '400', '299', '39']
['150', '81', '246', '382', '307']
['139', '12', '412', '21', '413']
['102', '362', '396', '492', '157']
['202', '442', '405', '467', '174']
['166', '0', '84', '120', '251']
['170', '376', '28', '449', '398']
['374', '458', '345', '325', '409']
['466', '435', '41', '133', '488']
['153', '121', '432', '80', '79']
['331', '436', '115', '190', '207']
['375', '154', '450', '441', '176']
['425', '51', '29', '406', '163']
['225', '141', '385', '314', '24']
['182', '192', '6', '144', '394']
['122', '211', '7', '78', '54']
['209', '272', '267', '205', '473']
['367', '445', '137', '152', '187']
['497', '5', '330', '193', '301']
['204', '448', '188', '271', '66']
['298', '213', '266', '132', '17']
['218', '95', '97', '287', '105']
['59', '333', '146', '71', '371']
['33', '399', '134', '470', '11']
['206', '403', '421', '31', '292']
['253', '75', '380', '178', '46']
['424', '460', '493', '112', '377']
['185', '439', '414', '234', '232']
['48', '459', '159', '275', '82']
['44', '453', '353', '300', '499']
['223', '383', '381', '224', '235']
['241', '135', '357', '118', '354']
['108', '173', '73', '219', '308']
['297', '60', '38', '18', '13']
['447', '65', '1', '15', '90']
['315', '326', '191', '55', '42']
['244', '247', '200', '215', '341']
['482', '164', '231', '342', '194']
['53', '172', '366', '158', '9']
['490', '160', '72', '274', '70']
['304', '481', '68', '276', '27']
['395', '296', '337', '410', '52']
['35', '483', '230', '279', '446']
['335', '107', '124', '256', '278']
['236', '277', '113', '440', '62']
['283', '286', '388', '142', '305']
['61', '465', '306', '494', '433']
['324', '119', '250', '338', '427']
['451', '429', '229', '111', '94']
['221', '387', '34', '149', '125']
['138', '19', '370', '340', '477']
['189', '349', '280', '415', '485']
['233', '96', '147', '359', '242']
['346', '355', '252', '316', '197']
['309', '67', '180', '452', '496']
['408', '208', '455', '303', '471']
['179', '30', '468', '486', '402']
['165', '227', '372', '40', '270']
['199', '50', '397', '14', '463']
['104', '295', '318', '58', '475']
['183', '212', '263', '245', '156']
['20', '347', '348', '268', '257']
['136', '238', '198', '322', '285']
['86', '239', '289', '69', '103']
['259', '155', '100', '293', '352']
['248', '284', '327', '269', '127']
['201', '344', '444', '87', '407']
['472', '386', '140', '258', '320']
['148', '461', '254', '487', '302']
['363', '8', '291', '332', '184']
['63', '226', '64', '37', '93']
['109', '313', '131', '110', '130']
['49', '220', '117', '373', '126']
['438', '311', '128', '476', '145']
['106', '216', '498', '431', '4']
['26', '181', '262', '443', '469']
['175', '240', '261', '273', '123']
['319', '56', '195', '416', '428']
['76', '99', '23', '143', '456']
['464', '264', '92', '454', '495']
['74', '420', '32', '328', '423']
['389', '422', '474', '177', '434']
['358', '151', '162', '411', '379']
['404', '390', '430', '336', '101']
['479', '350', '186', '329', '294']
['478', '83', '368', '167', '392']
['3', '222', '384', '418', '98']
['484', '22', '36', '401', '91']
['203', '310', '210', '169', '2']
['356', '260', '43', '312', '281']
['57', '339', '391', '171', '321']
['47', '77', '419', '426', '288']
