['5', '17', '25', '28', '37', '50', '55', '72', '76', '103']
['21', '22', '27', '33', '44', '66', '93', '101', '133', '135']
['6', '11', '14', '36', '47', '105', '108', '126', '131', '142']
['12', '43', '71', '83', '100', '109', '113', '120', '128', '150']
['24', '38', '74', '87', '88', '137', '138', '148', '156', '163']
['67', '77', '91', '97', '98', '104', '110', '121', '152', '170']
['4', '15', '29', '90', '117', '143', '147', '162', '172', '173']
['1', '3', '41', '99', '107', '127', '144', '149', '154', '185']
['2', '9', '58', '73', '95', '96', '141', '158', '190', '192']
['8', '23', '48', '51', '54', '84', '86', '140', '167', '197']
['10', '13', '32', '40', '70', '82', '124', '125', '183', '202']
['30', '59', '112', '122', '160', '174', '178', '181', '187', '210']
['20', '26', '60', '62', '79', '119', '132', '168', '184', '211']
['39', '52', '57', '68', '69', '78', '155', '164', '193', '214']
['31', '49', '85', '114', '134', '151', '191', '198', '215', '225']
['0', '61', '75', '80', '94', '106', '111', '171', '219', '226']
['42', '102', '139', '159', '169', '177', '189', '220', '229', '231']
['18', '56', '81', '146', '195', '200', '207', '223', '227', '234']
['34', '145', '153', '161', '175', '180', '186', '218', '222', '238']
['7', '45', '65', '136', '166', '199', '217', '224', '228', '239']
['16', '19', '89', '92', '129', '130', '157', '213', '233', '240']
['35', '46', '115', '182', '194', '203', '206', '230', '237', '243']
['116', '123', '165', '176', '188', '204', '208', '216', '241', '246']
['53', '118', '179', '201', '205', '209', '212', '242', '245', '247']
['63', '64', '196', '221', '232', '235', '236', '244', '248', '249']
