['197', '372', '115', '99', '102', '286', '328', '296', '442', '297']
['95', '105', '375', '378', '9', '316', '497', '174', '187', '134']
['271', '419', '6', '60', '186', '195', '260', '218', '484', '136']
['112', '237', '412', '1', '259', '493', '409', '126', '130', '116']
['436', '374', '56', '19', '103', '454', '162', '481', '388', '94']
['239', '64', '146', '44', '385', '261', '275', '312', '327', '430']
['117', '416', '366', '313', '364', '204', '184', '29', '150', '458']
['435', '278', '431', '83', '300', '480', '350', '498', '91', '467']
['149', '249', '472', '405', '384', '170', '49', '315', '107', '288']
['479', '444', '359', '221', '175', '109', '13', '219', '320', '226']
['371', '293', '147', '46', '274', '452', '160', '50', '269', '470']
['199', '475', '26', '319', '392', '214', '76', '304', '243', '441']
['12', '144', '389', '111', '194', '301', '390', '231', '334', '28']
['151', '443', '169', '139', '284', '131', '215', '432', '468', '273']
['73', '449', '188', '499', '383', '283', '270', '346', '262', '84']
['459', '491', '437', '440', '183', '478', '361', '465', '3', '33']
['360', '191', '324', '57', '303', '393', '180', '429', '348', '395']
['339', '233', '477', '307', '4', '379', '353', '311', '203', '369']
['88', '302', '298', '380', '439', '185', '30', '483', '80', '106']
['78', '89', '413', '145', '222', '264', '335', '457', '268', '425']
['418', '172', '225', '7', '317', '81', '118', '490', '242', '227']
['487', '247', '256', '16', '394', '154', '391', '397', '173', '299']
['90', '59', '254', '125', '476', '39', '122', '138', '238', '272']
['486', '228', '87', '343', '362', '155', '332', '337', '326', '178']
['447', '428', '24', '66', '40', '179', '485', '208', '55', '323']
['345', '424', '331', '462', '159', '422', '445', '235', '344', '240']
['34', '82', '426', '365', '141', '201', '211', '460', '68', '280']
['98', '135', '45', '488', '209', '176', '38', '164', '23', '223']
['415', '37', '114', '182', '47', '434', '400', '77', '253', '494']
['399', '252', '110', '25', '42', '455', '310', '61', '85', '464']
['248', '338', '282', '48', '427', '123', '258', '396', '166', '306']
['466', '22', '168', '257', '181', '210', '414', '212', '193', '93']
['74', '456', '352', '213', '140', '340', '92', '129', '245', '198']
['43', '446', '250', '54', '266', '15', '232', '347', '171', '14']
['277', '281', '220', '11', '157', '387', '153', '263', '96', '51']
['314', '72', '417', '370', '161', '461', '52', '224', '407', '267']
['450', '63', '451', '158', '290', '291', '217', '97', '349', '190']
['100', '65', '305', '189', '10', '448', '202', '438', '411', '148']
['177', '124', '294', '120', '408', '255', '244', '285', '163', '463']
['156', '325', '41', '373', '132', '2', '143', '86', '35', '289']
['251', '113', '121', '8', '192', '104', '127', '241', '62', '119']
['386', '246', '336', '376', '489', '205', '330', '20', '341', '230']
['357', '200', '142', '358', '321', '295', '322', '406', '58', '71']
['206', '279', '381', '495', '421', '101', '167', '137', '108', '79']
['356', '229', '401', '329', '351', '410', '496', '165', '196', '309']
['398', '471', '36', '0', '234', '382', '207', '236', '354', '433']
['128', '133', '474', '318', '75', '492', '469', '404', '333', '292']
['355', '423', '403', '402', '265', '18', '32', '152', '368']
['287', '53', '69', '453', '21', '308', '70', '5']
['67', '363', '27', '342', '377']
['473', '31', '216', '17', '276', '420', '482', '367']
