['0', '37', '67', '85', '119', '150', '164', '188', '196', '200']
['4', '26', '62', '75', '100', '114', '175', '203', '210', '216']
['82', '99', '106', '120', '141', '142', '167', '184', '221', '256']
['21', '24', '42', '65', '72', '111', '165', '204', '260', '282']
['39', '47', '139', '157', '191', '213', '263', '274', '283', '301']
['12', '13', '55', '86', '88', '105', '128', '199', '201', '307']
['92', '103', '108', '112', '166', '187', '209', '225', '293', '313']
['43', '44', '66', '107', '143', '223', '267', '286', '287', '341']
['53', '77', '110', '130', '161', '176', '227', '270', '338', '343']
['9', '11', '40', '49', '169', '208', '265', '291', '316', '347']
['3', '133', '185', '197', '233', '237', '241', '277', '345', '349']
['68', '74', '83', '140', '178', '212', '275', '285', '322', '350']
['5', '58', '116', '122', '226', '239', '255', '272', '280', '352']
['15', '23', '25', '45', '73', '168', '211', '314', '373', '376']
['18', '30', '60', '123', '129', '162', '220', '289', '368', '378']
['38', '101', '158', '182', '206', '214', '257', '364', '379', '381']
['115', '163', '171', '245', '261', '266', '317', '333', '336', '385']
['69', '181', '251', '258', '268', '284', '302', '337', '374', '392']
['19', '31', '144', '174', '195', '242', '243', '249', '300', '394']
['33', '36', '48', '118', '138', '328', '370', '377', '387', '397']
['7', '10', '189', '244', '264', '303', '312', '365', '371', '404']
['54', '153', '190', '192', '228', '252', '308', '388', '402', '412']
['8', '109', '113', '183', '205', '254', '288', '292', '391', '414']
['6', '16', '64', '146', '247', '323', '335', '408', '415', '416']
['59', '160', '273', '295', '306', '329', '348', '355', '369', '423']
['22', '121', '172', '193', '342', '356', '358', '410', '425', '427']
['17', '35', '50', '51', '84', '136', '219', '311', '409', '429']
['34', '76', '173', '186', '222', '304', '315', '320', '351', '434']
['46', '94', '154', '218', '230', '235', '319', '330', '421', '435']
['56', '246', '334', '340', '389', '396', '405', '417', '439', '449']
['14', '70', '155', '215', '224', '229', '238', '433', '445', '450']
['20', '57', '327', '361', '393', '398', '438', '448', '451', '456']
['91', '97', '102', '281', '346', '383', '418', '437', '443', '463']
['32', '180', '278', '339', '380', '426', '457', '461', '462', '464']
['81', '104', '250', '253', '294', '309', '359', '458', '459', '466']
['2', '28', '131', '151', '217', '248', '375', '384', '441', '468']
['29', '234', '276', '353', '420', '428', '440', '453', '467', '471']
['124', '135', '145', '198', '232', '296', '395', '401', '460', '474']
['89', '279', '318', '321', '363', '400', '411', '431', '436', '475']
['61', '79', '126', '152', '202', '236', '297', '446', '476', '477']
['134', '148', '170', '240', '354', '430', '447', '452', '478', '481']
['80', '177', '326', '362', '382', '390', '444', '469', '479', '483']
['41', '78', '125', '137', '194', '305', '413', '480', '484', '486']
['27', '63', '71', '360', '419', '470', '482', '485', '487', '488']
['1', '127', '132', '259', '262', '310', '399', '406', '455', '489']
['52', '90', '147', '149', '179', '207', '366', '403', '422', '490']
['98', '269', '290', '325', '367', '372', '424', '432', '472', '493']
['117', '271', '324', '332', '344', '386', '407', '442', '454', '494']
['87', '93', '95', '96', '159', '298', '357', '465', '495', '496']
['156', '231', '299', '331', '473', '491', '492', '497', '498', '499']
