['342', '292', '195', '271', '37', '231', '130', '22', '390', '248', '182', '321', '202', '124', '125', '126']
['345', '349', '198', '194', '274', '276', '38', '139', '21', '29', '395', '83', '241', '174', '183', '312']
['272', '278', '100', '237', '136', '396', '173', '11', '14', '203', '77', '315', '258', '169', '162', '212']
['299', '101', '32', '400', '373', '85', '247', '177', '16', '327', '123', '368', '383', '64', '167', '210']
['346', '103', '239', '140', '148', '240', '249', '189', '320', '79', '364', '251', '256', '164', '216', '289']
['340', '294', '290', '232', '1', '144', '149', '20', '171', '188', '322', '201', '8', '168', '357', '288']
['296', '193', '331', '93', '135', '397', '179', '12', '319', '3', '60', '351', '217', '280', '282', '262']
['344', '105', '334', '134', '378', '375', '88', '181', '71', '121', '387', '388', '9', '359', '358', '260']
['291', '99', '131', '23', '372', '176', '329', '127', '310', '386', '66', '67', '160', '161', '281', '54']
['98', '96', '379', '399', '246', '186', '10', '72', '78', '68', '365', '65', '165', '352', '214', '57']
['347', '297', '106', '104', '339', '95', '235', '141', '138', '28', '394', '244', '317', '4', '266', '52']
['277', '108', '102', '230', '398', '323', '326', '324', '205', '120', '366', '250', '211', '286', '114', '111']
['279', '36', '94', '233', '392', '13', '208', '70', '314', '259', '257', '215', '219', '267', '268', '118']
['234', '147', '143', '24', '376', '86', '180', '187', '204', '122', '285', '263', '50', '63', '303', '229']
['109', '332', '142', '133', '26', '243', '172', '15', '18', '75', '311', '380', '252', '58', '51', '228']
['107', '33', '238', '371', '242', '209', '76', '360', '384', '69', '354', '59', '116', '309', '225', '223']
['197', '275', '337', '97', '146', '145', '361', '382', '385', '255', '287', '264', '117', '302', '224', '222']
['293', '270', '35', '338', '335', '90', '132', '313', '166', '283', '269', '56', '300', '227', '221', '220']
['295', '39', '137', '25', '370', '377', '82', '328', '213', '55', '53', '307', '152', '155', '156', '159']
['199', '190', '192', '27', '374', '87', '175', '363', '218', '284', '115', '306', '226', '391', '153', '158']
['196', '191', '273', '333', '91', '393', '200', '73', '2', '61', '353', '308', '305', '150', '154', '49']
['348', '330', '17', '325', '369', '367', '389', '163', '261', '110', '253', '119', '80', '81', '46', '47']
['298', '34', '336', '6', '236', '84', '184', '207', '381', '113', '301', '304', '151', '157', '112', '42']
['31', '92', '7', '178', '185', '62', '74', '128', '318', '316', '362', '356', '355', '265', '44', '40']
['341', '343', '129', '30', '245', '170', '19', '206', '254', '350', '89', '48', '45', '43', '41', '5']
