['2', '7', '41', '44', '51', '76', '122', '136', '160', '193', '207', '228', '239', '241', '255', '261', '266', '284', '305', '313']
['20', '45', '62', '67', '73', '181', '194', '209', '215', '240', '254', '262', '265', '273', '288', '293', '295', '298', '309', '346']
['23', '24', '78', '84', '88', '110', '120', '131', '140', '141', '150', '153', '258', '290', '307', '310', '318', '338', '360', '362']
['83', '98', '101', '130', '132', '143', '149', '177', '205', '208', '214', '243', '251', '260', '291', '329', '334', '363', '379', '384']
['68', '80', '168', '182', '242', '245', '256', '267', '297', '302', '303', '326', '327', '348', '388', '399', '401', '406', '414', '416']
['3', '16', '25', '70', '114', '163', '169', '170', '190', '223', '226', '247', '248', '287', '336', '353', '365', '380', '405', '418']
['15', '54', '65', '89', '93', '103', '157', '158', '159', '167', '189', '233', '249', '299', '333', '345', '364', '395', '398', '422']
['8', '42', '50', '56', '85', '91', '100', '111', '187', '200', '234', '285', '296', '339', '352', '361', '378', '382', '386', '424']
['4', '75', '102', '108', '119', '186', '221', '235', '237', '246', '268', '274', '312', '349', '369', '370', '374', '389', '430', '439']
['13', '33', '53', '66', '77', '118', '133', '175', '197', '231', '281', '286', '337', '344', '381', '394', '402', '407', '432', '440']
['79', '81', '99', '166', '171', '174', '199', '202', '238', '259', '270', '276', '324', '340', '377', '390', '392', '410', '417', '443']
['71', '87', '109', '115', '128', '139', '179', '232', '250', '264', '272', '316', '330', '332', '383', '404', '409', '421', '438', '444']
['40', '59', '104', '121', '127', '142', '173', '196', '212', '225', '236', '275', '306', '325', '371', '408', '419', '442', '457', '459']
['10', '26', '32', '48', '61', '126', '144', '162', '219', '294', '308', '356', '372', '385', '396', '420', '431', '435', '445', '460']
['0', '14', '36', '55', '92', '148', '203', '271', '314', '315', '320', '359', '373', '411', '412', '423', '434', '458', '467', '468']
['11', '46', '72', '95', '97', '129', '134', '165', '192', '195', '282', '335', '400', '413', '415', '461', '465', '474', '475', '478']
['37', '60', '63', '105', '125', '161', '164', '176', '217', '218', '323', '342', '343', '347', '355', '358', '366', '391', '473', '479']
['30', '74', '96', '112', '123', '137', '138', '155', '222', '224', '289', '301', '376', '397', '403', '426', '441', '464', '476', '480']
['5', '18', '38', '69', '107', '146', '154', '172', '191', '210', '213', '252', '321', '375', '393', '450', '453', '462', '469', '483']
['22', '35', '49', '86', '147', '180', '198', '206', '269', '280', '300', '304', '368', '387', '436', '451', '452', '466', '485', '488']
['6', '9', '17', '19', '27', '52', '90', '106', '151', '152', '156', '204', '244', '263', '292', '317', '437', '454', '472', '489']
['12', '29', '39', '57', '113', '184', '188', '227', '230', '253', '328', '350', '354', '425', '428', '447', '463', '470', '487', '490']
['47', '64', '117', '135', '183', '185', '201', '211', '257', '278', '311', '319', '427', '429', '433', '446', '449', '482', '486', '492']
['21', '28', '31', '34', '58', '94', '124', '178', '277', '283', '322', '341', '357', '455', '471', '481', '494', '495', '497', '498']
['1', '43', '82', '116', '145', '216', '220', '229', '279', '331', '351', '367', '448', '456', '477', '484', '491', '493', '496', '499']
