['1', '5', '30', '38', '42', '59', '63', '95', '100', '104']
['4', '20', '25', '33', '43', '72', '73', '98', '114', '121']
['15', '18', '21', '39', '57', '92', '105', '126', '128', '134']
['13', '23', '37', '76', '88', '96', '117', '139', '153', '159']
['3', '19', '22', '46', '78', '81', '97', '110', '160', '161']
['6', '40', '55', '64', '115', '119', '123', '130', '141', '166']
['11', '45', '66', '77', '80', '127', '132', '144', '167', '168']
['24', '34', '41', '52', '60', '87', '136', '149', '156', '177']
['8', '9', '10', '28', '50', '108', '116', '129', '148', '181']
['29', '48', '56', '62', '71', '103', '109', '151', '183', '186']
['7', '32', '69', '85', '120', '145', '174', '182', '184', '195']
['74', '99', '101', '112', '118', '125', '164', '176', '187', '204']
['0', '58', '75', '86', '90', '111', '122', '203', '206', '207']
['82', '162', '163', '173', '191', '194', '198', '199', '205', '209']
['27', '36', '70', '94', '113', '124', '133', '154', '201', '211']
['47', '135', '140', '143', '165', '179', '189', '202', '214', '218']
['2', '16', '17', '49', '93', '138', '215', '216', '220', '222']
['31', '53', '54', '102', '150', '152', '180', '193', '196', '223']
['51', '67', '68', '170', '175', '185', '192', '212', '219', '228']
['61', '142', '147', '158', '178', '188', '190', '208', '213', '229']
['91', '131', '137', '172', '221', '231', '232', '233', '235', '236']
['83', '106', '146', '169', '197', '217', '224', '234', '237', '240']
['12', '14', '79', '84', '210', '227', '230', '238', '242', '244']
['26', '35', '65', '107', '155', '171', '226', '241', '243', '248']
['44', '89', '157', '200', '225', '239', '245', '246', '247', '249']
