['199', '272', '273', '102', '434', '143', '498', '495', '391', '179', '177', '171', '183', '188', '209', '73', '415', '137', '317', '314', '60', '469', '356']
['340', '443', '338', '132', '29', '404', '402', '248', '451', '453', '176', '18', '75', '121', '319', '313', '366', '365', '360', '387', '257', '359', '217']
['343', '298', '275', '107', '231', '140', '21', '372', '82', '174', '173', '189', '10', '320', '203', '202', '207', '72', '256', '463', '168', '9', '213']
['90', '133', '499', '134', '497', '28', '400', '87', '253', '180', '187', '184', '208', '125', '138', '384', '385', '66', '68', '460', '164', '165', '263']
['347', '34', '430', '92', '135', '373', '83', '247', '456', '2', '185', '12', '127', '129', '410', '411', '368', '259', '358', '210', '4', '264', '55']
['345', '278', '448', '440', '437', '330', '0', '99', '1', '142', '378', '454', '123', '126', '318', '312', '388', '466', '354', '260', '268', '63', '421']
['449', '447', '332', '98', '94', '239', '409', '393', '175', '11', '323', '71', '78', '122', '62', '65', '355', '289', '280', '282', '269', '110', '422']
['342', '192', '277', '105', '435', '236', '237', '145', '148', '494', '25', '392', '397', '244', '329', '419', '310', '61', '467', '286', '262', '308', '301']
['348', '290', '271', '441', '39', '35', '336', '406', '405', '379', '246', '242', '15', '324', '325', '311', '383', '254', '162', '287', '265', '303', '228']
['344', '346', '194', '446', '444', '109', '101', '104', '32', '37', '339', '335', '6', '235', '233', '24', '363', '218', '56', '302', '304', '306', '224']
['297', '292', '291', '407', '401', '370', '375', '201', '76', '362', '69', '465', '464', '166', '353', '214', '219', '267', '53', '428', '420', '426', '222']
['198', '31', '36', '439', '337', '141', '490', '459', '321', '200', '70', '316', '139', '361', '386', '255', '160', '352', '261', '111', '112', '226', '390']
['341', '445', '431', '334', '95', '491', '493', '22', '403', '399', '241', '182', '326', '206', '8', '364', '380', '381', '67', '250', '220', '88', '155']
['274', '108', '91', '93', '96', '496', '377', '396', '7', '457', '17', '120', '136', '288', '116', '425', '309', '227', '225', '221', '151', '152', '157']
['293', '190', '38', '97', '230', '146', '26', '374', '376', '240', '452', '16', '19', '124', '412', '350', '212', '57', '50', '305', '223', '114', '49']
['349', '191', '276', '432', '23', '371', '398', '85', '186', '414', '3', '367', '357', '351', '216', '51', '115', '113', '429', '423', '300', '81', '40']
['193', '106', '438', '436', '144', '86', '84', '243', '249', '455', '14', '74', '251', '167', '285', '284', '307', '181', '153', '159', '45', '5', '483']
['195', '442', '33', '492', '89', '327', '328', '418', '64', '163', '211', '266', '117', '424', '427', '229', '48', '46', '47', '43', '485', '472', '473']
['294', '131', '245', '172', '170', '322', '77', '79', '416', '315', '468', '462', '169', '119', '150', '156', '158', '42', '489', '486', '482', '470', '477']
['296', '295', '197', '279', '30', '433', '333', '147', '149', '20', '408', '204', '258', '413', '382', '215', '283', '58', '154', '80', '481', '476', '474']
['299', '331', '238', '27', '450', '128', '417', '369', '389', '161', '59', '54', '44', '41', '487', '484', '480', '471', '475', '478', '479']
['196', '270', '103', '100', '234', '232', '130', '395', '394', '458', '178', '13', '205', '461', '281', '52', '252', '118', '488']
