['15', '17', '18', '34', '40', '61', '68', '95', '106', '115', '136', '168', '173', '195', '202', '212', '229', '266', '280', '305', '321', '326']
['2', '9', '13', '28', '30', '56', '142', '147', '149', '160', '163', '169', '172', '206', '236', '276', '286', '331', '333', '334', '343', '350']
['0', '19', '52', '74', '102', '117', '126', '129', '140', '155', '175', '178', '201', '242', '249', '254', '287', '296', '308', '309', '317', '366']
['12', '35', '54', '79', '112', '113', '123', '125', '148', '161', '188', '216', '222', '248', '250', '270', '300', '304', '313', '335', '359', '384']
['50', '59', '60', '71', '75', '118', '145', '187', '203', '204', '234', '237', '258', '274', '275', '279', '330', '360', '363', '387', '396', '397']
['8', '10', '31', '55', '70', '82', '104', '109', '124', '137', '174', '209', '211', '225', '239', '243', '262', '278', '289', '306', '376', '403']
['16', '42', '65', '92', '97', '128', '138', '194', '218', '223', '252', '267', '293', '303', '341', '353', '380', '395', '405', '406', '407', '414']
['37', '39', '53', '69', '81', '84', '105', '119', '158', '181', '183', '208', '259', '265', '283', '325', '328', '329', '347', '374', '401', '419']
['11', '20', '36', '62', '110', '116', '167', '182', '257', '264', '284', '288', '295', '301', '311', '314', '324', '344', '399', '409', '415', '426']
['58', '73', '150', '156', '166', '179', '196', '197', '217', '226', '271', '319', '320', '349', '355', '356', '369', '371', '382', '420', '421', '429']
['29', '32', '44', '57', '85', '94', '130', '139', '162', '180', '207', '214', '221', '235', '240', '282', '322', '357', '385', '390', '404', '430']
['26', '48', '63', '114', '122', '141', '210', '228', '241', '244', '255', '263', '292', '298', '307', '318', '323', '336', '338', '434', '435', '447']
['6', '64', '67', '96', '131', '164', '177', '186', '205', '227', '230', '246', '312', '316', '327', '361', '372', '393', '410', '413', '416', '454']
['4', '25', '43', '86', '98', '120', '151', '154', '185', '213', '256', '342', '375', '379', '392', '423', '427', '442', '444', '446', '463', '467']
['3', '33', '77', '83', '107', '111', '121', '152', '153', '184', '191', '253', '272', '281', '337', '358', '367', '391', '402', '448', '458', '469']
['21', '23', '38', '45', '100', '200', '220', '224', '231', '251', '260', '268', '294', '302', '332', '345', '351', '386', '422', '461', '465', '471']
['41', '47', '88', '89', '91', '93', '101', '135', '143', '159', '171', '238', '340', '364', '418', '437', '441', '452', '453', '455', '459', '472']
['5', '51', '80', '132', '190', '219', '269', '310', '315', '339', '352', '362', '408', '417', '443', '445', '449', '456', '457', '460', '466', '474']
['27', '46', '87', '144', '157', '170', '176', '232', '233', '245', '261', '346', '368', '394', '428', '433', '438', '440', '450', '462', '470', '478']
['14', '49', '76', '78', '108', '134', '146', '290', '291', '370', '378', '381', '383', '389', '400', '425', '431', '439', '468', '475', '476', '480']
['1', '22', '90', '99', '103', '127', '133', '189', '192', '199', '215', '247', '273', '285', '297', '299', '354', '388', '411', '451', '477', '481']
['7', '24', '66', '72', '165', '193', '198', '277', '348', '365', '373', '377', '398', '412', '424', '432', '436', '464', '473', '479', '482', '483']
