['8', '20', '28', '49', '80']
['21', '45', '58', '63', '104']
['26', '33', '82', '99', '106']
['22', '81', '88', '115', '118']
['5', '16', '53', '110', '120']
['30', '35', '121', '123', '130']
['36', '70', '79', '127', '131']
['62', '83', '116', '117', '139']
['38', '68', '102', '128', '150']
['13', '67', '124', '137', '151']
['1', '2', '92', '98', '152']
['11', '25', '34', '135', '154']
['74', '86', '93', '140', '159']
['4', '29', '133', '155', '160']
['18', '52', '84', '89', '166']
['12', '71', '77', '161', '168']
['27', '72', '107', '122', '169']
['6', '46', '66', '142', '171']
['40', '56', '111', '163', '173']
['65', '94', '103', '132', '176']
['54', '55', '119', '157', '180']
['61', '114', '158', '165', '183']
['60', '108', '164', '185', '187']
['24', '78', '141', '147', '197']
['44', '145', '186', '194', '200']
['48', '138', '179', '198', '201']
['37', '73', '148', '182', '202']
['14', '76', '175', '181', '203']
['85', '91', '97', '144', '206']
['19', '172', '184', '192', '207']
['39', '95', '143', '156', '213']
['10', '96', '190', '204', '217']
['109', '195', '205', '208', '218']
['17', '57', '212', '216', '219']
['100', '126', '188', '215', '221']
['42', '90', '146', '191', '222']
['112', '134', '162', '209', '223']
['43', '105', '153', '199', '224']
['3', '50', '189', '214', '227']
['75', '136', '196', '210', '228']
['31', '47', '64', '193', '230']
['9', '15', '32', '178', '232']
['51', '129', '167', '211', '236']
['101', '170', '226', '233', '238']
['69', '87', '229', '234', '243']
['41', '113', '149', '177', '244']
['23', '59', '225', '242', '245']
['125', '220', '239', '240', '246']
['174', '235', '237', '241', '247']
['7', '231', '248', '249', '250']
