['234', '94', '13', '176', '497', '79', '198', '345', '135', '154']
['380', '420', '172', '73', '496', '226', '117', '494', '188', '321']
['178', '319', '430', '10', '83', '197', '343', '21', '45', '318']
['417', '287', '428', '487', '386', '127', '257', '427', '253', '310']
['28', '53', '459', '239', '133', '284', '479', '471', '396', '214']
['362', '372', '431', '331', '473', '183', '391', '131', '344', '187']
['63', '410', '285', '43', '498', '461', '130', '177', '385', '82']
['216', '87', '389', '375', '71', '334', '360', '1', '143', '381']
['213', '457', '132', '56', '470', '463', '277', '85', '435', '142']
['215', '231', '307', '395', '464', '460', '283', '439', '440', '64']
['370', '46', '112', '223', '221', '437', '77', '211', '159', '466']
['313', '273', '95', '272', '337', '72', '37', '39', '108', '483']
['262', '109', '190', '322', '467', '68', '330', '168', '136', '115']
['263', '199', '200', '162', '175', '247', '145', '315', '119', '340']
['124', '324', '346', '399', '369', '52', '288', '364', '317', '339']
['205', '350', '371', '139', '30', '166', '271', '227', '303', '297']
['144', '220', '6', '447', '54', '208', '7', '206', '455', '408']
['42', '110', '31', '255', '269', '15', '301', '96', '363', '485']
['491', '403', '478', '397', '462', '475', '252', '100', '0', '75']
['291', '465', '270', '469', '219', '433', '348', '35', '413', '267']
['306', '151', '121', '472', '65', '445', '116', '261', '443', '260']
['349', '204', '105', '232', '173', '150', '434', '250', '326', '209']
['182', '282', '66', '61', '147', '328', '18', '48', '106', '422']
['320', '314', '311', '40', '225', '298', '432', '237', '33', '8']
['312', '59', '259', '167', '181', '128', '170', '212', '275', '295']
['242', '17', '3', '368', '2', '152', '210', '164', '477', '299']
['276', '36', '14', '442', '34', '449', '333', '165', '120', '122']
['365', '113', '156', '342', '456', '146', '194', '495', '274', '20']
['476', '84', '327', '426', '224', '281', '202', '390', '358', '140']
['24', '419', '99', '58', '429', '238', '240', '379', '180', '4']
['78', '378', '308', '32', '141', '67', '347', '481', '398', '92']
['486', '222', '492', '163', '107', '415', '265', '93', '401', '421']
['233', '243', '423', '256', '366', '406', '97', '357', '155', '185']
['482', '25', '229', '62', '300', '160', '438', '49', '114', '125']
['268', '484', '228', '195', '69', '129', '418', '60', '89', '280']
['309', '29', '292', '409', '161', '201', '88', '235', '251', '179']
['325', '81', '57', '47', '27', '9', '296', '361', '286', '453']
['148', '329', '400', '436', '441', '101', '137', '19', '367', '70']
['468', '264', '11', '5', '338', '23', '304', '55', '458', '444']
['335', '153', '394', '149', '411', '480', '51', '207', '499', '351']
['278', '493', '245', '217', '80', '111', '489', '246', '412', '157']
['266', '22', '474', '86', '193', '123', '50', '454', '388', '404']
['90', '425', '126', '374', '134', '118', '490', '341', '196', '305']
['354', '352', '416', '414', '355', '174', '138', '424', '316', '249']
['74', '446', '359', '382', '203', '244', '279', '302', '290', '451']
['241', '289', '383', '191', '76', '16', '171', '218', '323', '169']
['184', '236', '186', '294', '402', '387', '38', '336', '98', '332']
['248', '158', '384', '189', '448', '104', '407', '41', '258', '405']
['102', '392', '377', '376', '356', '452', '91', '450', '353', '373']
['254', '488', '103', '293', '393', '192', '26', '44', '230', '12']
