['0', '7', '16', '28']
['13', '71', '80', '86']
['23', '66', '68', '87']
['14', '51', '79', '91']
['9', '30', '45', '104']
['73', '84', '85', '108']
['6', '40', '55', '117']
['82', '96', '109', '118']
['26', '50', '58', '121']
['4', '25', '120', '126']
['42', '89', '95', '127']
['75', '99', '105', '128']
['49', '53', '83', '129']
['61', '90', '114', '136']
['52', '113', '130', '139']
['35', '92', '101', '142']
['27', '31', '39', '143']
['32', '43', '133', '144']
['110', '112', '140', '145']
['38', '93', '107', '148']
['20', '98', '103', '150']
['24', '37', '106', '160']
['17', '131', '157', '163']
['67', '102', '151', '164']
['60', '137', '156', '165']
['21', '59', '63', '167']
['65', '125', '155', '172']
['74', '81', '168', '173']
['8', '119', '122', '174']
['111', '147', '153', '177']
['10', '149', '152', '182']
['48', '138', '171', '184']
['70', '123', '141', '190']
['44', '72', '134', '191']
['41', '185', '187', '196']
['36', '46', '154', '197']
['69', '162', '178', '198']
['159', '169', '189', '200']
['77', '78', '180', '203']
['88', '192', '201', '206']
['115', '186', '204', '208']
['56', '76', '166', '209']
['100', '194', '199', '213']
['47', '181', '195', '214']
['12', '34', '94', '215']
['18', '175', '202', '216']
['54', '132', '146', '217']
['33', '183', '205', '220']
['15', '135', '212', '221']
['57', '170', '188', '222']
['176', '211', '219', '230']
['64', '227', '228', '232']
['3', '19', '29', '233']
['62', '179', '225', '234']
['224', '229', '235', '237']
['11', '97', '236', '240']
['5', '223', '242', '244']
['231', '238', '243', '245']
['2', '207', '239', '246']
['124', '161', '210', '247']
['1', '193', '218', '248']
['22', '116', '249']
['158', '226', '241']
