['654', '441', '824', '833', '244']
['354', '815', '852', '784', '79']
['763', '861', '141', '756', '744']
['381', '214', '796', '59', '390']
['32', '41', '514', '571', '866']
['20', '330', '457', '902', '355']
['496', '722', '378', '555', '933']
['186', '876', '912', '66', '495']
['881', '14', '346', '972', '943']
['220', '193', '238', '357', '510']
['138', '361', '15', '6', '660']
['862', '840', '997', '470', '221']
['908', '857', '533', '16', '136']
['944', '211', '814', '65', '359']
['537', '235', '983', '672', '463']
['176', '3', '715', '758', '148']
['891', '826', '639', '314', '456']
['702', '897', '894', '562', '885']
['934', '623', '343', '536', '275']
['928', '907', '363', '772', '967']
['187', '479', '349', '587', '600']
['98', '51', '906', '365', '666']
['432', '297', '904', '992', '91']
['535', '957', '224', '122', '236']
['217', '306', '475', '556', '399']
['721', '751', '474', '380', '477']
['431', '245', '993', '35', '938']
['593', '321', '262', '761', '708']
['83', '521', '576', '277', '541']
['531', '310', '281', '143', '829']
['577', '364', '82', '679', '608']
['901', '545', '542', '191', '527']
['287', '377', '755', '914', '183']
['959', '671', '809', '179', '201']
['486', '292', '579', '212', '228']
['924', '445', '309', '713', '680']
['376', '718', '684', '526', '968']
['397', '407', '273', '369', '803']
['161', '946', '637', '391', '386']
['22', '935', '636', '181', '367']
['145', '102', '341', '170', '690']
['4', '54', '880', '559', '699']
['641', '700', '110', '493', '21']
['954', '368', '147', '88', '172']
['808', '856', '334', '655', '325']
['848', '340', '128', '101', '778']
['227', '658', '598', '406', '108']
['657', '847', '208', '846', '296']
['64', '635', '638', '345', '524']
['732', '942', '719', '696', '958']
['249', '120', '971', '203', '953']
['78', '350', '564', '288', '5']
['739', '300', '812', '511', '424']
['142', '422', '712', '855', '80']
['29', '734', '694', '583', '667']
['757', '898', '595', '31', '838']
['255', '55', '480', '242', '71']
['790', '948', '293', '414', '505']
['759', '231', '207', '656', '404']
['693', '865', '8', '175', '742']
['335', '630', '382', '813', '204']
['765', '155', '973', '913', '374']
['421', '516', '552', '123', '591']
['458', '775', '618', '871', '167']
['396', '675', '780', '36', '729']
['280', '84', '797', '26', '116']
['909', '37', '540', '7', '581']
['45', '139', '798', '769', '133']
['910', '633', '488', '529', '888']
['290', '860', '650', '484', '157']
['573', '931', '499', '105', '616']
['171', '112', '163', '917', '184']
['430', '632', '360', '831', '740']
['189', '837', '627', '226', '674']
['854', '896', '215', '121', '825']
['678', '106', '984', '295', '70']
['12', '711', '375', '43', '169']
['703', '502', '289', '807', '190']
['344', '569', '661', '118', '506']
['858', '903', '717', '461', '308']
['752', '966', '870', '234', '834']
['754', '398', '689', '370', '423']
['788', '410', '634', '760', '762']
['47', '319', '548', '741', '615']
['425', '612', '243', '817', '783']
['767', '725', '774', '270', '647']
['413', '328', '668', '789', '162']
['487', '481', '241', '469', '955']
['180', '844', '836', '532', '927']
['617', '158', '538', '624', '323']
['467', '723', '111', '750', '490']
['819', '597', '302', '23', '307']
['10', '701', '286', '507', '539']
['156', '33', '113', '770', '969']
['611', '602', '515', '285', '392']
['801', '57', '195', '976', '97']
['517', '271', '333', '951', '828']
['692', '165', '816', '786', '324']
['676', '705', '892', '644', '433']
['596', '949', '544', '402', '582']
['48', '793', '225', '805', '497']
['114', '561', '520', '890', '748']
['853', '246', '260', '589', '687']
['18', '835', '843', '9', '747']
['937', '151', '886', '923', '867']
['995', '50', '975', '46', '146']
['964', '704', '96', '462', '448']
['776', '232', '522', '192', '415']
['482', '551', '698', '254', '977']
['659', '269', '38', '89', '251']
['963', '199', '366', '34', '160']
['849', '981', '546', '99', '258']
['284', '899', '987', '558', '131']
['777', '773', '877', '53', '17']
['606', '586', '92', '549', '764']
['85', '745', '76', '695', '218']
['356', '74', '86', '159', '563']
['631', '209', '126', '605', '915']
['454', '301', '950', '44', '460']
['565', '947', '252', '129', '93']
['373', '879', '489', '585', '683']
['115', '416', '27', '52', '875']
['785', '450', '494', '688', '738']
['974', '970', '426', '550', '999']
['889', '781', '313', '446', '568']
['137', '766', '988', '327', '125']
['956', '315', '140', '272', '553']
['103', '686', '996', '200', '459']
['800', '669', '198', '56', '492']
['196', '554', '265', '117', '130']
['338', '240', '584', '342', '152']
['525', '940', '572', '746', '476']
['119', '95', '371', '518', '259']
['100', '619', '905', '264', '872']
['2', '233', '795', '104', '87']
['982', '664', '802', '714', '471']
['716', '628', '594', '434', '428']
['348', '75', '749', '452', '818']
['614', '403', '305', '352', '643']
['911', '465', '794', '69', '388']
['49', '604', '68', '451', '609']
['792', '620', '385', '936', '67']
['124', '841', '389', '580', '645']
['250', '926', '400', '990', '799']
['453', '312', '921', '485', '436']
['916', '989', '845', '81', '90']
['25', '263', '823', '706', '922']
['528', '613', '274', '166', '197']
['625', '850', '941', '707', '42']
['326', '939', '473', '61', '144']
['682', '443', '504', '268', '134']
['503', '771', '567', '405', '253']
['887', '513', '575', '60', '150']
['444', '332', '629', '709', '394']
['730', '194', '222', '202', '804']
['439', '961', '322', '205', '63']
['11', '588', '408', '945', '278']
['210', '822', '900', '925', '455']
['409', '387', '895', '929', '261']
['878', '726', '337', '30', '649']
['317', '820', '743', '691', '362']
['851', '768', '979', '266', '557']
['178', '500', '417', '466', '893']
['578', '329', '932', '395', '164']
['442', '736', '304', '962', '830']
['418', '40', '58', '0', '298']
['883', '427', '279', '599', '449']
['447', '648', '13', '610', '229']
['720', '670', '810', '435', '731']
['985', '697', '960', '213', '153']
['590', '168', '472', '320', '132']
['662', '393', '621', '206', '107']
['498', '592', '336', '566', '863']
['384', '677', '642', '358', '681']
['216', '873', '864', '401', '737']
['986', '468', '952', '920', '543']
['710', '884', '869', '73', '806']
['534', '519', '791', '303', '174']
['622', '412', '724', '626', '28']
['859', '39', '991', '464', '353']
['530', '978', '868', '839', '347']
['651', '19', '383', '512', '665']
['782', '874', '420', '827', '574']
['728', '930', '282', '685', '173']
['601', '351', '276', '247', '177']
['508', '248', '753', '257', '570']
['185', '72', '663', '127', '607']
['438', '727', '918', '919', '478']
['640', '652', '547', '491', '832']
['994', '294', '182', '842', '237']
['311', '1', '787', '316', '77']
['256', '429', '411', '239', '372']
['673', '735', '560', '437', '733']
['135', '188', '882', '811', '154']
['283', '318', '339', '965', '821']
['653', '483', '24', '440', '523']
['223', '94', '501', '603', '331']
['219', '646', '419', '299', '230']
['379', '291', '149', '62', '998']
['779', '267', '109', '509', '980']
