['802', '383', '434', '821', '505', '753', '426', '69', '857', '187']
['60', '776', '457', '120', '593', '960', '980', '770', '141', '899']
['63', '828', '503', '650', '437', '868', '840', '351', '825', '199']
['273', '521', '387', '527', '332', '123', '94', '693', '984', '754']
['726', '305', '876', '392', '180', '894', '663', '442', '266', '557']
['380', '146', '96', '18', '29', '782', '829', '797', '365', '108']
['501', '459', '900', '289', '631', '755', '723', '708', '600', '936']
['625', '290', '130', '361', '818', '923', '119', '599', '520', '722']
['143', '420', '77', '155', '397', '401', '617', '612', '84', '42']
['889', '121', '931', '645', '886', '430', '492', '167', '156', '759']
['998', '767', '326', '649', '752', '283', '498', '356', '652', '225']
['338', '58', '750', '188', '598', '17', '954', '110', '654', '512']
['216', '526', '916', '792', '694', '211', '775', '115', '415', '253']
['67', '769', '939', '657', '247', '964', '912', '919', '691', '195']
['59', '162', '525', '46', '522', '566', '494', '324', '763', '153']
['447', '450', '64', '985', '655', '354', '320', '299', '510', '620']
['163', '118', '795', '297', '439', '185', '446', '951', '564', '928']
['531', '624', '443', '393', '574', '535', '135', '956', '238', '234']
['582', '575', '761', '739', '480', '495', '85', '959', '839', '81']
['883', '357', '872', '321', '103', '920', '222', '214', '856', '978']
['579', '738', '198', '788', '660', '979', '938', '831', '896', '436']
['257', '677', '260', '363', '407', '785', '184', '895', '606', '513']
['158', '756', '536', '668', '594', '240', '455', '178', '149', '475']
['604', '615', '48', '402', '662', '711', '746', '381', '65', '820']
['417', '552', '982', '517', '616', '502', '310', '614', '165', '760']
['11', '205', '215', '386', '716', '731', '82', '786', '177', '179']
['967', '281', '946', '643', '329', '75', '259', '986', '571', '451']
['789', '176', '314', '239', '888', '907', '852', '855', '507', '87']
['350', '66', '805', '128', '317', '515', '545', '133', '164', '906']
['57', '689', '591', '623', '76', '644', '292', '102', '884', '62']
['685', '713', '695', '977', '207', '24', '116', '471', '697', '858']
['628', '914', '544', '836', '822', '902', '229', '308', '114', '991']
['368', '518', '718', '824', '15', '790', '808', '255', '49', '105']
['269', '241', '742', '948', '974', '89', '3', '819', '981', '762']
['892', '406', '427', '291', '587', '549', '287', '250', '530', '765']
['811', '715', '468', '801', '642', '905', '377', '174', '861', '709']
['38', '90', '714', '853', '833', '41', '194', '228', '993', '925']
['389', '400', '942', '511', '251', '773', '602', '944', '990', '961']
['335', '33', '749', '236', '799', '796', '285', '328', '504', '491']
['31', '533', '783', '485', '488', '86', '37', '804', '603', '595']
['487', '479', '366', '720', '927', '464', '248', '458', '941', '597']
['150', '635', '584', '972', '413', '519', '476', '323', '35', '688']
['700', '435', '23', '433', '673', '440', '360', '910', '588', '233']
['949', '937', '47', '465', '336', '554', '261', '901', '832', '27']
['863', '288', '499', '897', '983', '52', '732', '405', '403', '999']
['639', '864', '245', '945', '166', '147', '97', '583', '379', '730']
['632', '414', '419', '810', '134', '846', '568', '581', '560', '382']
['264', '567', '621', '126', '705', '659', '460', '109', '7', '227']
['576', '953', '278', '444', '955', '8', '585', '963', '493', '68']
['378', '815', '737', '375', '124', '26', '539', '136', '546', '304']
['448', '827', '396', '975', '779', '578', '44', '629', '935', '53']
['307', '208', '181', '212', '704', '263', '898', '772', '814', '347']
['10', '553', '456', '648', '481', '989', '971', '866', '32', '36']
['341', '374', '268', '330', '477', '364', '929', '173', '221', '319']
['175', '6', '311', '183', '712', '358', '809', '237', '764', '908']
['757', '340', '474', '20', '322', '724', '452', '256', '154', '22']
