['518', '774', '280', '526', '274', '403', '290', '137', '771', '324', '552', '293', '62', '972', '612', '229', '178', '752', '312', '138']
['74', '433', '969', '286', '568', '343', '291', '920', '923', '888', '488', '952', '347', '851', '522', '858', '654', '489', '339', '148']
['660', '973', '761', '56', '133', '519', '837', '961', '89', '561', '778', '189', '240', '375', '645', '198', '839', '882', '61', '869']
['368', '215', '898', '815', '259', '318', '722', '458', '263', '750', '16', '951', '388', '804', '210', '959', '762', '891', '579', '31']
['551', '24', '475', '267', '417', '846', '6', '40', '652', '603', '494', '443', '149', '424', '180', '565', '936', '8', '111', '826']
['897', '981', '465', '651', '788', '60', '648', '863', '23', '571', '980', '102', '640', '782', '629', '30', '254', '47', '405', '593']
['444', '864', '449', '917', '628', '742', '242', '569', '392', '672', '243', '535', '907', '129', '530', '483', '747', '395', '844', '150']
['822', '908', '861', '69', '911', '743', '902', '310', '655', '974', '884', '466', '729', '131', '211', '996', '953', '947', '756', '300']
['463', '21', '694', '758', '910', '680', '849', '856', '239', '53', '824', '446', '698', '918', '348', '43', '441', '356', '195', '184']
['903', '110', '462', '104', '940', '143', '719', '590', '618', '394', '541', '185', '684', '926', '927', '227', '813', '256', '513', '421']
['265', '794', '492', '442', '673', '496', '570', '151', '276', '376', '45', '206', '158', '132', '852', '573', '10', '144', '505', '422']
['64', '428', '715', '919', '558', '956', '487', '2', '610', '3', '52', '738', '627', '460', '867', '609', '587', '960', '272', '360']
['878', '790', '596', '331', '735', '471', '201', '625', '686', '186', '626', '399', '614', '734', '130', '214', '175', '636', '207', '883']
['785', '913', '764', '716', '179', '553', '319', '949', '51', '833', '575', '533', '704', '873', '370', '692', '126', '793', '829', '222']
['17', '100', '871', '932', '780', '91', '855', '141', '583', '127', '438', '727', '32', '635', '853', '781', '845', '834', '12', '989']
['340', '768', '540', '766', '515', '572', '121', '938', '352', '733', '497', '511', '478', '366', '365', '787', '439', '66', '120', '818']
['798', '828', '862', '323', '7', '929', '544', '937', '859', '82', '115', '159', '547', '338', '984', '305', '474', '80', '997', '510']
['109', '236', '546', '41', '554', '67', '114', '965', '841', '647', '712', '816', '576', '512', '362', '801', '644', '470', '823', '525']
['935', '657', '182', '426', '469', '728', '145', '759', '134', '87', '108', '0', '931', '427', '707', '329', '683', '581', '870', '886']
['994', '92', '877', '298', '164', '281', '599', '448', '595', '292', '501', '537', '809', '382', '174', '313', '663', '702', '412', '677']
['358', '190', '289', '607', '404', '407', '638', '718', '85', '413', '678', '378', '317', '275', '687', '283', '675', '327', '408', '13']
['218', '582', '843', '224', '691', '29', '982', '624', '944', '939', '521', '374', '98', '9', '337', '351', '751', '854', '970', '792']
['968', '26', '299', '161', '631', '234', '160', '459', '850', '193', '842', '48', '333', '812', '320', '90', '517', '119', '825', '5']
['909', '755', '248', '83', '901', '971', '253', '156', '990', '99', '400', '643', '500', '872', '946', '499', '197', '285', '341', '430']
['112', '775', '724', '335', '282', '964', '814', '670', '725', '962', '228', '700', '690', '848', '876', '456', '995', '797', '536', '502']
['557', '720', '105', '493', '819', '896', '181', '258', '615', '103', '200', '664', '977', '566', '602', '106', '451', '303', '34', '906']
['514', '634', '49', '767', '467', '796', '524', '146', '928', '749', '314', '646', '601', '346', '701', '1', '279', '476', '373', '304']
['216', '385', '520', '461', '490', '696', '35', '983', '753', '79', '117', '196', '123', '423', '539', '904', '364', '152', '706', '699']
['726', '942', '484', '975', '773', '261', '147', '332', '410', '985', '11', '600', '86', '203', '477', '662', '765', '708', '659', '273']
['567', '491', '934', '176', '874', '257', '249', '414', '93', '472', '835', '213', '75', '38', '70', '534', '653', '817', '172', '744']
['948', '231', '745', '205', '202', '799', '836', '988', '671', '354', '107', '588', '617', '993', '384', '697', '831', '135', '192', '598']
['531', '889', '307', '730', '895', '42', '482', '564', '54', '619', '783', '170', '278', '416', '81', '723', '941', '656', '808', '88']
['695', '820', '245', '397', '669', '875', '396', '777', '508', '78', '165', '188', '881', '661', '76', '703', '821', '594', '269', '550']
['507', '711', '679', '991', '96', '154', '386', '95', '915', '731', '827', '379', '454', '506', '682', '355', '880', '233', '957', '892']
['316', '260', '39', '800', '402', '445', '301', '866', '142', '857', '713', '776', '966', '899', '46', '740', '605', '328', '591', '805']
['748', '255', '732', '772', '73', '342', '789', '791', '391', '763', '237', '18', '155', '998', '419', '330', '125', '63', '930', '613']
['431', '795', '71', '55', '714', '885', '637', '528', '943', '705', '509', '811', '585', '284', '19', '830', '344', '15', '900', '334']
['315', '266', '688', '542', '632', '954', '235', '321', '674', '296', '865', '372', '101', '616', '118', '440', '639', '992', '746', '650']
['136', '925', '987', '786', '420', '464', '912', '84', '349', '548', '606', '223', '803', '432', '429', '244', '621', '945', '754', '545']
['847', '436', '905', '868', '584', '498', '311', '504', '230', '199', '741', '516', '425', '116', '262', '418', '894', '241', '586', '212']
['246', '978', '77', '226', '27', '840', '50', '322', '710', '999', '574', '219', '604', '642', '555', '495', '608', '559', '838', '167']
['538', '393', '306', '389', '359', '560', '367', '350', '232', '325', '288', '251', '976', '736', '357', '784', '922', '390', '527', '401']
['914', '479', '22', '721', '757', '271', '380', '94', '113', '162', '666', '65', '194', '383', '225', '916', '37', '658', '345', '309']
['97', '665', '166', '667', '326', '411', '810', '217', '204', '36', '967', '252', '676', '250', '578', '921', '543', '623', '770', '468']
['287', '409', '452', '630', '157', '363', '434', '4', '485', '580', '169', '473', '986', '549', '453', '597', '387', '622', '270', '503']
['336', '523', '532', '563', '950', '173', '72', '806', '893', '208', '760', '209', '958', '163', '294', '221', '171', '592', '589', '268']
['59', '717', '122', '277', '435', '295', '979', '14', '20', '480', '68', '802', '415', '264', '693', '168', '933', '128', '450', '807']
['685', '302', '308', '556', '739', '955', '437', '191', '689', '297', '220', '381', '620', '44', '406', '377', '238', '709', '139', '577']
['860', '398', '879', '33', '353', '668', '529', '963', '737', '28', '455', '447', '611', '481', '779', '633', '681', '486', '177', '832']
['562', '183', '369', '124', '641', '924', '371', '187', '890', '887', '58', '457', '361', '769', '57', '153', '140', '25', '649', '247']
