['480', '398', '83', '366', '253', '28', '202', '213', '77', '189']
['68', '252', '122', '303', '464', '336', '369', '42', '105', '390']
['164', '228', '40', '91', '476', '73', '60', '150', '446', '338']
['137', '165', '298', '132', '12', '75', '248', '345', '136', '107']
['287', '154', '382', '353', '254', '260', '198', '220', '396', '351']
['268', '492', '96', '291', '281', '84', '64', '199', '258', '346']
['354', '304', '47', '276', '388', '250', '51', '379', '278', '88']
['43', '432', '314', '401', '370', '148', '5', '169', '452', '2']
['232', '14', '176', '454', '147', '38', '322', '206', '204', '223']
['311', '431', '173', '308', '409', '458', '247', '151', '471', '167']
['341', '383', '302', '212', '54', '262', '108', '323', '494', '239']
['106', '384', '99', '361', '138', '27', '374', '215', '191', '32']
['489', '18', '29', '343', '196', '78', '316', '399', '424', '297']
['187', '126', '325', '364', '277', '427', '152', '340', '444', '35']
['265', '365', '180', '226', '404', '349', '203', '3', '62', '111']
['195', '326', '128', '53', '142', '300', '23', '182', '377', '178']
['321', '145', '463', '183', '313', '34', '85', '319', '124', '299']
['445', '481', '337', '139', '222', '450', '430', '240', '37', '41']
['417', '79', '355', '15', '267', '327', '52', '179', '210', '468']
['251', '90', '216', '97', '275', '474', '483', '155', '264', '339']
['87', '447', '65', '279', '301', '385', '465', '153', '309', '352']
['190', '33', '246', '238', '13', '61', '227', '307', '102', '6']
['462', '119', '140', '30', '159', '130', '488', '177', '207', '359']
['478', '289', '328', '408', '441', '131', '160', '429', '92', '133']
['129', '348', '80', '414', '472', '498', '49', '120', '387', '156']
['263', '312', '163', '135', '433', '342', '20', '330', '333', '235']
['118', '72', '8', '237', '134', '295', '397', '16', '459', '434']
['466', '25', '205', '310', '149', '393', '282', '82', '350', '21']
['292', '229', '290', '7', '171', '141', '67', '449', '473', '332']
['4', '59', '174', '211', '305', '475', '422', '103', '493', '143']
['48', '412', '146', '89', '266', '479', '175', '274', '270', '439']
['70', '125', '113', '168', '296', '477', '285', '221', '423', '66']
['257', '386', '362', '334', '244', '499', '407', '245', '242', '426']
['10', '184', '288', '357', '392', '271', '116', '484', '451', '491']
['453', '112', '324', '469', '172', '368', '186', '161', '93', '358']
['69', '200', '208', '45', '356', '435', '420', '400', '272', '411']
['185', '470', '55', '440', '467', '26', '485', '233', '117', '294']
['442', '372', '331', '367', '280', '243', '209', '63', '101', '259']
['286', '24', '109', '50', '415', '410', '419', '256', '416', '157']
['378', '394', '373', '219', '381', '76', '22', '261', '225', '371']
['192', '104', '496', '347', '360', '197', '376', '421', '114', '57']
['217', '166', '1', '269', '224', '98', '94', '158', '144', '418']
['283', '317', '110', '127', '403', '395', '11', '194', '100', '329']
['36', '74', '115', '193', '31', '402', '406', '490', '460', '39']
['380', '497', '86', '389', '306', '363', '428', '249', '95', '425']
['335', '170', '188', '284', '482', '318', '486', '255', '456', '236']
['448', '273', '230', '0', '162', '457', '391', '218', '9', '46']
['375', '17', '495', '455', '181', '438', '123', '437', '81', '293']
['56', '443', '231', '436', '315', '19', '461', '234', '344', '487']
['58', '44', '320', '405', '413', '121', '241', '201', '214', '71']
