['268', '405', '454', '430', '77', '232', '912', '956', '570', '398']
['166', '325', '598', '527', '612', '656', '555', '735', '825', '22']
['192', '288', '648', '266', '132', '802', '64', '914', '624', '678']
['274', '801', '865', '352', '431', '965', '733', '517', '698', '112']
['976', '143', '906', '338', '947', '208', '101', '592', '442', '620']
['952', '94', '350', '748', '712', '203', '451', '356', '609', '426']
['229', '711', '139', '461', '548', '503', '884', '771', '676', '544']
['411', '292', '759', '824', '873', '908', '84', '307', '995', '564']
['123', '387', '397', '32', '315', '549', '233', '28', '858', '537']
['519', '794', '225', '575', '466', '362', '347', '56', '634', '385']
['68', '421', '737', '867', '964', '596', '870', '359', '19', '384']
['14', '721', '205', '153', '289', '280', '836', '198', '605', '62']
['487', '970', '272', '310', '998', '714', '4', '764', '173', '216']
['542', '273', '79', '71', '93', '680', '611', '167', '386', '738']
['949', '131', '881', '745', '927', '357', '826', '277', '903', '660']
['761', '125', '239', '458', '467', '322', '17', '199', '200', '85']
['176', '66', '331', '110', '559', '75', '830', '182', '35', '971']
['3', '187', '987', '318', '535', '495', '543', '665', '892', '807']
['345', '646', '842', '969', '630', '424', '449', '114', '49', '340']
['701', '752', '330', '462', '314', '455', '566', '950', '595', '415']
['355', '16', '763', '475', '328', '582', '50', '433', '913', '336']
['757', '172', '659', '251', '238', '361', '991', '295', '74', '135']
['45', '664', '996', '473', '925', '349', '784', '306', '910', '33']
['303', '269', '158', '703', '81', '715', '263', '972', '52', '948']
['212', '785', '531', '974', '319', '235', '250', '943', '227', '888']
['297', '839', '633', '907', '940', '70', '222', '39', '240', '533']
['769', '299', '921', '476', '178', '812', '724', '333', '992', '138']
['425', '753', '389', '560', '423', '883', '304', '326', '685', '492']
['189', '177', '121', '689', '480', '440', '890', '859', '444', '396']
['920', '933', '184', '57', '316', '789', '168', '478', '453', '511']
['574', '707', '107', '291', '377', '164', '674', '354', '364', '851']
['989', '219', '720', '677', '104', '120', '218', '897', '770', '197']
['852', '800', '953', '337', '655', '496', '695', '97', '144', '293']
['134', '743', '754', '271', '891', '882', '493', '142', '616', '773']
['997', '642', '746', '700', '809', '909', '48', '654', '151', '896']
['729', '899', '5', '792', '684', '600', '562', '55', '788', '88']
['604', '290', '9', '536', '26', '414', '191', '459', '51', '581']
['252', '734', '820', '512', '373', '905', '73', '113', '63', '432']
['27', '672', '343', '427', '136', '90', '747', '390', '53', '507']
['488', '410', '149', '798', '474', '860', '298', '312', '67', '671']
