['732', '376', '175', '335', '246', '373', '302', '232', '543', '622', '668', '492', '86', '462', '173', '689', '480', '435', '137', '43', '432', '657', '461', '270', '635', '141', '736', '4', '306', '184', '506', '91', '56', '337', '601', '679', '604', '387', '499', '202', '694', '272', '421', '464', '582', '532', '131', '179', '405', '107']
['249', '627', '533', '723', '699', '484', '135', '702', '51', '634', '693', '393', '257', '46', '230', '125', '675', '671', '58', '678', '303', '649', '489', '577', '89', '573', '32', '654', '0', '158', '21', '309', '589', '144', '375', '502', '14', '112', '620', '39', '683', '708', '550', '341', '584', '442', '661', '80', '104', '18']
['308', '189', '513', '606', '673', '133', '128', '84', '181', '395', '474', '134', '11', '328', '190', '105', '611', '295', '361', '701', '253', '325', '305', '371', '648', '67', '558', '163', '258', '362', '127', '437', '242', '498', '155', '535', '203', '79', '165', '207', '225', '369', '222', '734', '161', '642', '118', '544', '227', '276']
['223', '113', '259', '123', '504', '712', '177', '697', '463', '700', '614', '624', '143', '364', '396', '540', '706', '524', '709', '443', '53', '440', '493', '201', '293', '78', '224', '363', '460', '666', '206', '24', '641', '433', '456', '608', '628', '534', '596', '197', '319', '140', '279', '102', '148', '10', '526', '599', '278', '146']
['551', '381', '455', '597', '747', '564', '38', '505', '260', '210', '737', '269', '66', '9', '37', '16', '465', '15', '384', '291', '299', '617', '286', '715', '580', '687', '603', '287', '717', '476', '252', '280', '427', '5', '517', '150', '220', '530', '704', '579', '625', '479', '727', '238', '271', '188', '213', '333', '478', '467']
['327', '169', '120', '587', '494', '481', '593', '447', '386', '234', '684', '138', '632', '54', '636', '380', '711', '419', '142', '82', '571', '688', '217', '438', '612', '65', '98', '594', '576', '331', '153', '55', '718', '507', '109', '653', '360', '721', '685', '521', '664', '274', '231', '365', '378', '458', '441', '591', '705', '310']
['552', '71', '136', '283', '264', '569', '121', '7', '710', '178', '262', '413', '130', '738', '214', '731', '469', '166', '36', '356', '398', '713', '475', '75', '602', '288', '195', '358', '348', '488', '111', '677', '256', '124', '251', '431', '42', '495', '446', '73', '619', '749', '390', '500', '388', '748', '212', '407', '644', '485']
['70', '670', '578', '385', '610', '503', '406', '434', '235', '211', '332', '422', '292', '61', '157', '572', '139', '565', '132', '616', '394', '703', '172', '298', '342', '640', '277', '401', '8', '548', '239', '168', '219', '545', '186', '209', '267', '126', '680', '662', '320', '199', '324', '554', '626', '659', '149', '117', '28', '250']
['69', '44', '568', '607', '623', '17', '605', '45', '187', '672', '151', '658', '368', '204', '730', '655', '707', '367', '12', '103', '650', '301', '509', '350', '470', '167', '185', '414', '451', '372', '472', '81', '248', '382', '145', '196', '562', '194', '621', '29', '164', '228', '669', '486', '322', '208', '746', '129', '226', '3']
['742', '566', '725', '200', '528', '366', '180', '724', '268', '59', '297', '417', '615', '323', '490', '444', '695', '529', '487', '247', '192', '656', '321', '152', '114', '415', '355', '351', '265', '515', '275', '696', '354', '459', '430', '329', '586', '370', '512', '57', '72', '205', '83', '35', '698', '182', '154', '48', '119', '400']
['483', '563', '101', '353', '347', '643', '41', '445', '50', '454', '93', '501', '676', '77', '255', '716', '20', '537', '519', '581', '450', '491', '631', '508', '312', '583', '425', '436', '284', '300', '85', '424', '667', '170', '557', '497', '595', '99', '110', '514', '357', '681', '588', '74', '31', '174', '630', '523', '64', '682']
['156', '108', '585', '410', '728', '313', '339', '556', '412', '408', '549', '389', '94', '27', '665', '289', '525', '574', '282', '22', '316', '318', '409', '527', '633', '171', '726', '660', '516', '651', '13', '115', '241', '740', '522', '637', '88', '294', '191', '6', '496', '560', '296', '374', '106', '198', '392', '613', '639', '176']
['352', '183', '233', '218', '162', '63', '609', '34', '518', '285', '541', '244', '336', '87', '729', '263', '96', '646', '426', '97', '471', '273', '418', '359', '33', '692', '116', '326', '221', '510', '546', '254', '346', '338', '30', '307', '304', '520', '159', '714', '575', '739', '553', '590', '600', '334', '229', '343', '638', '743']
['23', '147', '598', '62', '315', '482', '383', '290', '439', '399', '237', '448', '19', '674', '663', '416', '428', '531', '690', '559', '720', '744', '1', '311', '236', '429', '345', '719', '317', '652', '538', '542', '457', '403', '60', '567', '420', '745', '397', '511', '686', '423', '76', '100', '2', '349', '561', '377', '449', '536']
['245', '473', '92', '25', '47', '68', '314', '344', '215', '691', '243', '645', '261', '735', '411', '90', '733', '477', '452', '193', '539', '340', '547', '468', '40', '160', '122', '453', '330', '402', '555', '379', '26', '647', '404', '592', '741', '216', '570', '722', '629', '466', '49', '240', '618', '391', '266', '95', '52', '281']
