['117', '370', '192', '457', '45', '420', '357', '270', '188', '13']
['54', '90', '295', '219', '33', '65', '342', '279', '99', '401']
['443', '191', '360', '1', '89', '94', '305', '46', '356', '133']
['256', '213', '451', '121', '308', '347', '391', '322', '172', '85']
['244', '38', '263', '303', '209', '3', '453', '341', '11', '281']
['177', '312', '29', '376', '236', '388', '338', '119', '282', '406']
['178', '492', '23', '358', '468', '62', '454', '108', '243', '349']
['278', '167', '339', '437', '495', '254', '55', '359', '103', '496']
['52', '165', '394', '436', '34', '309', '2', '10', '272', '447']
['221', '115', '318', '354', '363', '208', '84', '317', '271', '476']
['313', '337', '375', '404', '49', '378', '241', '261', '478', '428']
['316', '147', '179', '17', '60', '199', '210', '408', '286', '198']
['109', '413', '72', '9', '111', '297', '71', '395', '174', '98']
['290', '461', '207', '459', '168', '4', '107', '294', '93', '291']
['195', '161', '216', '173', '377', '86', '140', '275', '186', '269']
['193', '430', '233', '239', '397', '440', '63', '387', '247', '474']
['129', '166', '460', '132', '352', '280', '242', '438', '160', '48']
['211', '135', '61', '488', '176', '490', '114', '384', '334', '422']
['203', '299', '382', '246', '105', '123', '75', '69', '151', '432']
['37', '157', '92', '58', '79', '262', '455', '320', '180', '202']
['469', '350', '426', '386', '53', '285', '481', '449', '91', '44']
['407', '265', '6', '374', '214', '15', '80', '110', '274', '197']
['128', '142', '264', '416', '472', '120', '266', '238', '301', '232']
['32', '141', '315', '415', '485', '445', '96', '175', '139', '201']
['300', '345', '344', '371', '361', '372', '131', '30', '489', '204']
['465', '343', '319', '396', '87', '464', '154', '152', '190', '259']
['410', '170', '366', '412', '355', '258', '35', '327', '381', '185']
['183', '24', '21', '448', '206', '330', '100', '328', '427', '230']
['480', '155', '369', '351', '56', '42', '59', '64', '273', '499']
['144', '380', '39', '145', '148', '18', '329', '423', '340', '50']
['212', '292', '403', '162', '367', '215', '470', '348', '389', '429']
['118', '200', '126', '253', '237', '7', '245', '19', '323', '22']
['326', '16', '425', '304', '483', '441', '283', '158', '419', '498']
['169', '27', '187', '76', '205', '74', '494', '77', '473', '405']
['41', '57', '137', '252', '456', '383', '306', '164', '184', '462']
['331', '0', '296', '82', '153', '409', '431', '497', '439', '487']
['414', '113', '293', '307', '235', '479', '231', '218', '249', '20']
['234', '284', '125', '66', '229', '14', '189', '332', '224', '287']
['310', '450', '346', '385', '36', '124', '268', '12', '442', '289']
['398', '217', '97', '134', '402', '251', '463', '73', '5', '163']
['458', '150', '433', '417', '228', '311', '240', '146', '325', '418']
['101', '40', '70', '181', '255', '257', '127', '78', '288', '88']
['51', '424', '399', '390', '333', '136', '491', '493', '482', '67']
['116', '159', '364', '106', '475', '227', '452', '471', '477', '267']
['321', '83', '222', '130', '104', '467', '250', '276', '196', '182']
['392', '314', '156', '95', '43', '8', '373', '31', '26', '248']
['102', '466', '260', '220', '400', '68', '365', '112', '122', '226']
['421', '393', '138', '277', '47', '324', '411', '336', '28', '486']
['484', '434', '171', '335', '298', '353', '435', '379', '446', '194']
['143', '302', '362', '225', '25', '444', '149', '368', '223', '81']
